"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM VESTIGING";"GEMEENTENAAM";"ONDERWIJSTYPE VO";"INSPECTIECODE";"OPLEIDINGSNAAM";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - MAN";"GESLAAGDEN SCHOOLJAAR 2019-2020 - MAN";"SLAAGPERC SCHOOLJAAR 2019-2020 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - VROUW";"GESLAAGDEN SCHOOLJAAR 2019-2020 - VROUW";"SLAAGPERC SCHOOLJAAR 2019-2020 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2019-2020 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2019-2020 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - MAN";"GESLAAGDEN SCHOOLJAAR 2020-2021 - MAN";"SLAAGPERC SCHOOLJAAR 2020-2021 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - VROUW";"GESLAAGDEN SCHOOLJAAR 2020-2021 - VROUW";"SLAAGPERC SCHOOLJAAR 2020-2021 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2020-2021 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2020-2021 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - MAN";"GESLAAGDEN SCHOOLJAAR 2021-2022 - MAN";"SLAAGPERC SCHOOLJAAR 2021-2022 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - VROUW";"GESLAAGDEN SCHOOLJAAR 2021-2022 - VROUW";"SLAAGPERC SCHOOLJAAR 2021-2022 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2021-2022 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2021-2022 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - MAN";"GESLAAGDEN SCHOOLJAAR 2022-2023 - MAN";"SLAAGPERC SCHOOLJAAR 2022-2023 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - VROUW";"GESLAAGDEN SCHOOLJAAR 2022-2023 - VROUW";"SLAAGPERC SCHOOLJAAR 2022-2023 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2022-2023 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2022-2023 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - MAN";"GESLAAGDEN SCHOOLJAAR 2023-2024 - MAN";"SLAAGPERC SCHOOLJAAR 2023-2024 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - VROUW";"GESLAAGDEN SCHOOLJAAR 2023-2024 - VROUW";"SLAAGPERC SCHOOLJAAR 2023-2024 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2023-2024 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2023-2024 - TOTAAL"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"64";"VWO - N&T / N&G";"11";"11";"100";"13";"13";"100";"24";"24";"100";"12";"12";"100";"21";"20";"95.2";"33";"32";"97";"9";"9";"100";"19";"18";"94.7";"28";"27";"96.4";"10";"9";"90";"13";"13";"100";"23";"22";"95.7";"12";"11";"91.7";"14";"14";"100";"26";"25";"96.2"
"00AH";"00AH00";"Het Stedelijk Kottenpark";"ENSCHEDE";"VWO";"69";"VWO - E&M / C&M";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"6";"6";"100";"9";"9";"100";"<5";"<5";"66.7";"9";"6";"66.7";"12";"8";"66.7";"<5";"<5";"100";"<5";"<5";"25";"7";"<5";"57.1";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"HAVO";"51";"HAVO - N&G";"5";"5";"100";"13";"13";"100";"18";"18";"100";"7";"6";"85.7";"8";"5";"62.5";"15";"11";"73.3";"<5";"<5";"33.3";"12";"7";"58.3";"15";"8";"53.3";"<5";"<5";"50";"7";"5";"71.4";"9";"6";"66.7";"<5";"<5";"100";"12";"8";"66.7";"13";"9";"69.2"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"HAVO";"52";"HAVO - E&M";"14";"13";"92.9";"8";"7";"87.5";"22";"20";"90.9";"16";"13";"81.2";"7";"7";"100";"23";"20";"87";"21";"13";"61.9";"<5";"<5";"50";"25";"15";"60";"20";"12";"60";"14";"10";"71.4";"34";"22";"64.7";"22";"16";"72.7";"5";"<5";"40";"27";"18";"66.7"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"HAVO";"53";"HAVO - C&M";"<5";"<5";"100";"6";"6";"100";"8";"8";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"0";"0";"6";"<5";"50";"9";"<5";"33.3";"<5";"0";"0";"14";"7";"50";"15";"7";"46.7";"6";"5";"83.3";"9";"6";"66.7";"15";"11";"73.3"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"HAVO";"54";"HAVO - N&T / N&G";"7";"6";"85.7";"<5";"<5";"100";"9";"8";"88.9";"5";"<5";"40";"6";"5";"83.3";"11";"7";"63.6";"<5";"<5";"50";"<5";"<5";"100";"7";"5";"71.4";"5";"<5";"60";"<5";"0";"0";"6";"<5";"50";"8";"8";"100";"<5";"<5";"100";"11";"11";"100"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"HAVO";"59";"HAVO - E&M / C&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VMBO";"90";"VMBO T - techniek";"14";"14";"100";"<5";"<5";"100";"16";"16";"100";"11";"11";"100";"0";"0";"0";"11";"11";"100";"6";"6";"100";"0";"0";"0";"6";"6";"100";"9";"9";"100";"0";"0";"0";"9";"9";"100";"8";"8";"100";"<5";"<5";"100";"11";"11";"100"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VMBO";"91";"VMBO T - zorg en welzijn";"<5";"<5";"100";"24";"24";"100";"27";"27";"100";"7";"7";"100";"24";"23";"95.8";"31";"30";"96.8";"7";"7";"100";"13";"12";"92.3";"20";"19";"95";"9";"8";"88.9";"16";"15";"93.8";"25";"23";"92";"<5";"<5";"100";"15";"14";"93.3";"18";"17";"94.4"
"00AH";"00AH07";"Het Stedelijk College Zuid";"ENSCHEDE";"VMBO";"92";"VMBO T - economie";"40";"39";"97.5";"22";"22";"100";"62";"61";"98.4";"32";"30";"93.8";"12";"11";"91.7";"44";"41";"93.2";"21";"20";"95.2";"5";"5";"100";"26";"25";"96.2";"32";"29";"90.6";"11";"9";"81.8";"43";"38";"88.4";"26";"26";"100";"11";"9";"81.8";"37";"35";"94.6"
