"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM VESTIGING";"GEMEENTENAAM";"ONDERWIJSTYPE VO";"INSPECTIECODE";"OPLEIDINGSNAAM";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - MAN";"GESLAAGDEN SCHOOLJAAR 2019-2020 - MAN";"SLAAGPERC SCHOOLJAAR 2019-2020 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - VROUW";"GESLAAGDEN SCHOOLJAAR 2019-2020 - VROUW";"SLAAGPERC SCHOOLJAAR 2019-2020 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2019-2020 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2019-2020 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2019-2020 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - MAN";"GESLAAGDEN SCHOOLJAAR 2020-2021 - MAN";"SLAAGPERC SCHOOLJAAR 2020-2021 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - VROUW";"GESLAAGDEN SCHOOLJAAR 2020-2021 - VROUW";"SLAAGPERC SCHOOLJAAR 2020-2021 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2020-2021 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2020-2021 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2020-2021 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - MAN";"GESLAAGDEN SCHOOLJAAR 2021-2022 - MAN";"SLAAGPERC SCHOOLJAAR 2021-2022 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - VROUW";"GESLAAGDEN SCHOOLJAAR 2021-2022 - VROUW";"SLAAGPERC SCHOOLJAAR 2021-2022 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2021-2022 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2021-2022 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2021-2022 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - MAN";"GESLAAGDEN SCHOOLJAAR 2022-2023 - MAN";"SLAAGPERC SCHOOLJAAR 2022-2023 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - VROUW";"GESLAAGDEN SCHOOLJAAR 2022-2023 - VROUW";"SLAAGPERC SCHOOLJAAR 2022-2023 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2022-2023 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2022-2023 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2022-2023 - TOTAAL";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - MAN";"GESLAAGDEN SCHOOLJAAR 2023-2024 - MAN";"SLAAGPERC SCHOOLJAAR 2023-2024 - MAN";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - VROUW";"GESLAAGDEN SCHOOLJAAR 2023-2024 - VROUW";"SLAAGPERC SCHOOLJAAR 2023-2024 - VROUW";"EXAMENKANDIDATEN SCHOOLJAAR 2023-2024 - TOTAAL";"GESLAAGDEN SCHOOLJAAR 2023-2024 - TOTAAL";"SLAAGPERC SCHOOLJAAR 2023-2024 - TOTAAL"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"HAVO";"59";"HAVO - E&M / C&M";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VMBO";"90";"VMBO T - techniek";"8";"8";"100";"0";"0";"0";"8";"8";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VMBO";"91";"VMBO T - zorg en welzijn";"<5";"<5";"100";"6";"5";"83.3";"8";"7";"87.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VMBO";"92";"VMBO T - economie";"5";"5";"100";"<5";"<5";"100";"6";"6";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"60";"VWO - N&T";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"6";"5";"83.3";"<5";"<5";"50";"8";"6";"75";"<5";"<5";"66.7";"<5";"<5";"100";"<5";"<5";"75"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"61";"VWO - N&G";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100";"6";"6";"100";"11";"10";"90.9";"17";"16";"94.1";"<5";"<5";"100";"8";"8";"100";"9";"9";"100";"5";"<5";"60";"7";"<5";"42.9";"12";"6";"50";"<5";"<5";"66.7";"10";"9";"90";"13";"11";"84.6"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"62";"VWO - E&M";"11";"11";"100";"5";"5";"100";"16";"16";"100";"9";"9";"100";"<5";"<5";"100";"13";"13";"100";"5";"5";"100";"<5";"<5";"100";"8";"8";"100";"<5";"<5";"33.3";"7";"6";"85.7";"10";"7";"70";"11";"10";"90.9";"7";"5";"71.4";"18";"15";"83.3"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"63";"VWO - C&M";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"6";"6";"100";"6";"6";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"66.7"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"64";"VWO - N&T / N&G";"6";"6";"100";"10";"10";"100";"16";"16";"100";"7";"7";"100";"6";"6";"100";"13";"13";"100";"5";"5";"100";"8";"7";"87.5";"13";"12";"92.3";"7";"6";"85.7";"7";"<5";"57.1";"14";"10";"71.4";"<5";"<5";"100";"8";"7";"87.5";"10";"9";"90"
"02FY";"02FY00";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"69";"VWO - E&M / C&M";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"30";"VMBO LWT - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"34";"VMBO B - techniek";"19";"19";"100";"0";"0";"0";"19";"19";"100";"7";"7";"100";"0";"0";"0";"7";"7";"100";"15";"14";"93.3";"0";"0";"0";"15";"14";"93.3";"10";"10";"100";"0";"0";"0";"10";"10";"100";"10";"9";"90";"<5";"<5";"100";"12";"11";"91.7"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"35";"VMBO B - zorg en welzijn";"<5";"<5";"100";"6";"6";"100";"7";"7";"100";"<5";"<5";"100";"9";"9";"100";"10";"10";"100";"<5";"<5";"100";"9";"9";"100";"13";"13";"100";"<5";"<5";"100";"17";"17";"100";"18";"18";"100";"0";"0";"0";"9";"9";"100";"9";"9";"100"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"36";"VMBO B - economie";"10";"10";"100";"8";"8";"100";"18";"18";"100";"5";"5";"100";"<5";"<5";"100";"9";"9";"100";"<5";"<5";"75";"5";"5";"100";"9";"8";"88.9";"9";"7";"77.8";"<5";"<5";"100";"11";"9";"81.8";"<5";"<5";"100";"<5";"<5";"75";"8";"7";"87.5"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"38";"VMBO K - techniek";"20";"20";"100";"<5";"<5";"100";"24";"24";"100";"24";"22";"91.7";"<5";"<5";"100";"25";"23";"92";"27";"23";"85.2";"<5";"<5";"100";"29";"25";"86.2";"22";"22";"100";"0";"0";"0";"22";"22";"100";"18";"16";"88.9";"<5";"<5";"100";"21";"19";"90.5"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"39";"VMBO K - zorg en welzijn";"8";"8";"100";"30";"30";"100";"38";"38";"100";"<5";"<5";"100";"23";"22";"95.7";"25";"24";"96";"<5";"<5";"100";"24";"23";"95.8";"25";"24";"96";"<5";"<5";"100";"14";"13";"92.9";"15";"14";"93.3";"<5";"<5";"50";"21";"21";"100";"23";"22";"95.7"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"40";"VMBO K - economie";"13";"13";"100";"16";"16";"100";"29";"29";"100";"11";"11";"100";"12";"12";"100";"23";"23";"100";"16";"16";"100";"15";"15";"100";"31";"31";"100";"14";"10";"71.4";"15";"13";"86.7";"29";"23";"79.3";"8";"6";"75";"12";"11";"91.7";"20";"17";"85"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"42";"VMBO G - techniek";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"75";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"43";"VMBO G - zorg en welzijn";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"7";"7";"100";"7";"7";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"44";"VMBO G - economie";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"66.7";"0";"0";"0";"<5";"<5";"66.7"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"90";"VMBO T - techniek";"8";"8";"100";"0";"0";"0";"8";"8";"100";"<5";"<5";"100";"5";"5";"100";"9";"9";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"12";"9";"75";"0";"0";"0";"12";"9";"75";"11";"9";"81.8";"<5";"<5";"100";"14";"12";"85.7"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"91";"VMBO T - zorg en welzijn";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"8";"8";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"0";"0";"6";"5";"83.3";"8";"5";"62.5";"<5";"<5";"100";"15";"11";"73.3";"16";"12";"75"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"92";"VMBO T - economie";"5";"5";"100";"8";"8";"100";"13";"13";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"12";"12";"100";"9";"9";"100";"21";"21";"100";"7";"7";"100";"<5";"<5";"100";"9";"9";"100";"0";"0";"0";"<5";"<5";"50";"<5";"<5";"50"
"02FY";"02FY01";"OMO Scholengr. Bergen op Zoom";"WOENSDRECHT";"VMBO";"93";"VMBO T - landbouw";"5";"5";"100";"5";"5";"100";"10";"10";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"30";"VMBO LWT - techniek";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"6";"100";"0";"0";"0";"6";"6";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"31";"VMBO LWT - zorg & welzijn";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"32";"VMBO LWT - economie";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"34";"VMBO B - techniek";"15";"15";"100";"<5";"<5";"100";"16";"16";"100";"11";"11";"100";"0";"0";"0";"11";"11";"100";"8";"8";"100";"<5";"<5";"100";"9";"9";"100";"6";"5";"83.3";"0";"0";"0";"6";"5";"83.3";"5";"5";"100";"0";"0";"0";"5";"5";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"35";"VMBO B - zorg en welzijn";"<5";"<5";"100";"10";"10";"100";"13";"13";"100";"<5";"<5";"100";"9";"9";"100";"10";"10";"100";"<5";"<5";"100";"9";"9";"100";"10";"10";"100";"0";"0";"0";"11";"10";"90.9";"11";"10";"90.9";"0";"0";"0";"7";"7";"100";"7";"7";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"36";"VMBO B - economie";"<5";"<5";"100";"6";"6";"100";"10";"10";"100";"8";"8";"100";"<5";"<5";"100";"12";"12";"100";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"75";"6";"5";"83.3"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"38";"VMBO K - techniek";"18";"18";"100";"<5";"<5";"100";"19";"19";"100";"21";"21";"100";"<5";"<5";"100";"24";"24";"100";"12";"12";"100";"<5";"<5";"100";"13";"13";"100";"28";"23";"82.1";"<5";"<5";"100";"29";"24";"82.8";"12";"12";"100";"6";"6";"100";"18";"18";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"39";"VMBO K - zorg en welzijn";"10";"10";"100";"26";"26";"100";"36";"36";"100";"<5";"<5";"100";"17";"17";"100";"19";"19";"100";"5";"5";"100";"24";"23";"95.8";"29";"28";"96.6";"<5";"<5";"100";"19";"18";"94.7";"22";"21";"95.5";"7";"6";"85.7";"19";"19";"100";"26";"25";"96.2"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"40";"VMBO K - economie";"13";"13";"100";"11";"11";"100";"24";"24";"100";"26";"26";"100";"11";"11";"100";"37";"37";"100";"7";"7";"100";"9";"9";"100";"16";"16";"100";"12";"12";"100";"<5";"<5";"100";"14";"14";"100";"11";"9";"81.8";"6";"5";"83.3";"17";"14";"82.4"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"42";"VMBO G - techniek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"43";"VMBO G - zorg en welzijn";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"44";"VMBO G - economie";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"9";"8";"88.9";"9";"8";"88.9";"18";"16";"88.9";"<5";"0";"0";"9";"8";"88.9";"10";"8";"80";"11";"10";"90.9";"8";"7";"87.5";"19";"17";"89.5";"6";"5";"83.3";"5";"<5";"80";"11";"9";"81.8"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"90";"VMBO T - techniek";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"7";"7";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100";"7";"5";"71.4";"<5";"<5";"100";"11";"9";"81.8";"6";"6";"100";"<5";"<5";"100";"9";"9";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"91";"VMBO T - zorg en welzijn";"7";"7";"100";"13";"13";"100";"20";"20";"100";"6";"6";"100";"8";"8";"100";"14";"14";"100";"<5";"<5";"100";"6";"6";"100";"8";"8";"100";"<5";"<5";"100";"8";"7";"87.5";"9";"8";"88.9";"<5";"<5";"100";"6";"6";"100";"10";"10";"100"
"02FY";"02FY02";"OMO Scholengr. Bergen op Zoom";"STEENBERGEN";"VMBO";"92";"VMBO T - economie";"16";"16";"100";"6";"6";"100";"22";"22";"100";"5";"5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"<5";"<5";"100";"8";"8";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"60";"VWO - N&T";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"5";"5";"100";"<5";"<5";"100";"6";"6";"100"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"61";"VWO - N&G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"100";"5";"5";"100";"10";"10";"100";"<5";"<5";"100";"<5";"<5";"66.7";"<5";"<5";"75"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"62";"VWO - E&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"63";"VWO - C&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"64";"VWO - N&T / N&G";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"13";"100";"5";"5";"100";"18";"18";"100";"11";"10";"90.9";"8";"7";"87.5";"19";"17";"89.5"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"67";"VWO - N&G / C&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"0";"0";"0";"<5";"<5";"100"
"02FY";"02FY07";"OMO Scholengr. Bergen op Zoom";"BERGEN OP ZOOM";"VWO";"69";"VWO - E&M / C&M";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"100";"9";"8";"88.9";"11";"10";"90.9";"<5";"<5";"100";"12";"10";"83.3";"16";"14";"87.5"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"50";"HAVO - N&T";"14";"13";"92.9";"<5";"<5";"100";"16";"15";"93.8";"10";"9";"90";"<5";"<5";"100";"11";"10";"90.9";"7";"7";"100";"<5";"<5";"100";"8";"8";"100";"11";"8";"72.7";"<5";"<5";"100";"13";"10";"76.9";"16";"15";"93.8";"<5";"<5";"100";"17";"16";"94.1"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"51";"HAVO - N&G";"5";"<5";"80";"15";"15";"100";"20";"19";"95";"11";"9";"81.8";"13";"11";"84.6";"24";"20";"83.3";"6";"6";"100";"14";"14";"100";"20";"20";"100";"6";"5";"83.3";"13";"12";"92.3";"19";"17";"89.5";"10";"9";"90";"14";"12";"85.7";"24";"21";"87.5"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"52";"HAVO - E&M";"44";"42";"95.5";"39";"39";"100";"83";"81";"97.6";"36";"34";"94.4";"37";"31";"83.8";"73";"65";"89";"41";"36";"87.8";"45";"42";"93.3";"86";"78";"90.7";"33";"29";"87.9";"32";"27";"84.4";"65";"56";"86.2";"42";"36";"85.7";"33";"32";"97";"75";"68";"90.7"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"53";"HAVO - C&M";"<5";"<5";"100";"23";"23";"100";"25";"25";"100";"<5";"<5";"100";"22";"20";"90.9";"26";"24";"92.3";"<5";"<5";"100";"12";"12";"100";"14";"14";"100";"6";"<5";"50";"13";"11";"84.6";"19";"14";"73.7";"7";"6";"85.7";"16";"11";"68.8";"23";"17";"73.9"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"54";"HAVO - N&T / N&G";"15";"14";"93.3";"18";"18";"100";"33";"32";"97";"8";"7";"87.5";"17";"15";"88.2";"25";"22";"88";"12";"9";"75";"12";"11";"91.7";"24";"20";"83.3";"14";"13";"92.9";"13";"11";"84.6";"27";"24";"88.9";"10";"10";"100";"12";"9";"75";"22";"19";"86.4"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"HAVO";"59";"HAVO - E&M / C&M";"0";"0";"0";"10";"10";"100";"10";"10";"100";"<5";"<5";"100";"5";"<5";"80";"8";"7";"87.5";"<5";"<5";"100";"5";"5";"100";"6";"6";"100";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"7";"7";"100"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"60";"VWO - N&T";"13";"13";"100";"0";"0";"0";"13";"13";"100";"<5";"<5";"50";"<5";"<5";"100";"<5";"<5";"75";"10";"10";"100";"<5";"<5";"100";"13";"13";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"50";"<5";"<5";"100";"<5";"<5";"66.7"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"61";"VWO - N&G";"<5";"<5";"100";"<5";"<5";"100";"6";"6";"100";"<5";"<5";"100";"<5";"<5";"75";"6";"5";"83.3";"0";"0";"0";"8";"7";"87.5";"8";"7";"87.5";"<5";"<5";"50";"6";"6";"100";"10";"8";"80";"<5";"<5";"75";"<5";"<5";"50";"6";"<5";"66.7"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"62";"VWO - E&M";"5";"5";"100";"10";"10";"100";"15";"15";"100";"12";"11";"91.7";"8";"8";"100";"20";"19";"95";"7";"7";"100";"<5";"<5";"100";"10";"10";"100";"10";"10";"100";"5";"5";"100";"15";"15";"100";"15";"15";"100";"<5";"<5";"75";"19";"18";"94.7"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"63";"VWO - C&M";"0";"0";"0";"5";"5";"100";"5";"5";"100";"<5";"<5";"100";"5";"5";"100";"6";"6";"100";"<5";"<5";"100";"6";"5";"83.3";"7";"6";"85.7";"0";"0";"0";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"100";"<5";"<5";"75";"7";"6";"85.7"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"64";"VWO - N&T / N&G";"12";"12";"100";"19";"19";"100";"31";"31";"100";"6";"5";"83.3";"14";"13";"92.9";"20";"18";"90";"7";"7";"100";"8";"7";"87.5";"15";"14";"93.3";"<5";"<5";"66.7";"8";"7";"87.5";"11";"9";"81.8";"6";"6";"100";"12";"9";"75";"18";"15";"83.3"
"02GF";"02GF00";"Mgr Frencken College";"OOSTERHOUT";"VWO";"69";"VWO - E&M / C&M";"7";"7";"100";"12";"12";"100";"19";"19";"100";"5";"<5";"80";"10";"9";"90";"15";"13";"86.7";"7";"7";"100";"<5";"<5";"100";"11";"11";"100";"<5";"<5";"75";"8";"7";"87.5";"12";"10";"83.3";"0";"0";"0";"9";"8";"88.9";"9";"8";"88.9"
