BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,pupils_total
04JU00,De Tarissing,Achtkarspelen,9289JB,Bo,13.91,242.67,0.0566,0.5349,88
04JV00,Basissch St Jozef,Geldrop-Mierlo,5663AH,Bo,30.56,399.05,0.1158,0.6981,300
04JW00,Chr Basisschool De Oanrin,Achtkarspelen,9286EM,Bo,16.57,236.14,0.0666,0.5265,64
04JX00,Chr Basissch Bernewird,Noardeast-FryslÔn,9156AC,Bo,10.55,341.43,0.0436,0.6449,57
04KC00,KC De Schalm,Alblasserdam,2951GL,Bo,22.57,276.38,0.0884,0.5756,178
04KD00,A.S.V.,Amersfoort,3818HA,Bo,57.7,626.86,0.1978,0.8614,248
04KI00,GBS De Regenboog,Amersfoort,3813KM,Bo,31.89,339.81,0.1202,0.6433,262
04KI01,EBS De Parel,Amersfoort,3813VA,Bo,24.15,339.81,0.094,0.6433,62
04KJ00,Chr Basisschool It Anker,Waadhoeke,9035EB,Bo,21.56,253.67,0.0848,0.5486,90
04KM00,De Letterdoes,Maastricht,6224AZ,Bo,13.32,225.76,0.0543,0.5129,81
04KN00,Mienskipsskoalle  De Legeaen,S·dwest-FryslÔn,8627SG,Bo,29.27,290.14,0.1115,0.5912,71
04KU00,St Jozef Basisschool,Pijnacker-Nootdorp,2631GA,Bo,26.32,480.38,0.1015,0.7637,476
04KY00,Chr Basisschool De Rank,Noardeast-FryslÔn,9123JA,Bo,18.52,207.22,0.0738,0.4875,45
04KZ00,Cbs It Iepen Finster,Waadhoeke,8806KT,Bo,30.38,217.95,0.1152,0.5024,60
04LA00,De Rivieren,Amsterdam,1079EM,Bo,22.55,496.67,0.0883,0.7757,137
04LB00,Gravin v Rechterenschool,West Maas en Waal,6629AX,Bo,18.15,390.81,0.0724,0.6909,59
04LD00,De Vesting,Barneveld,3772AV,Bo,14.65,349.29,0.0594,0.6525,321
04LG00,"School m d Bijbel, De Zaaier",Maasdriel,5321TN,Bo,14.16,372.95,0.0575,0.6748,71
04LI00,Herv Bs De Wegwijzer,Neder-Betuwe,4041XE,Bo,26.89,340.38,0.1034,0.6438,230
04LJ00,Samenlevingsschool De Lisdodde,Steenwijkerland,7946LE,Bo,17.66,321.19,0.0706,0.6245,77
04LK00,Het Beekdal,Alphen-Chaam,4861TB,Bo,28.53,411.29,0.109,0.7087,28
04LL00,'t Twiespan,Emmen,7824CJ,Bo,14.73,159.76,0.0597,0.4146,133
04LM00,De Klimboom,Gemert-Bakel,5764PR,Bo,9.52,343.9,0.0395,0.6473,85
04LN00,Basisschool Sint Jozef,Midden-Delfland,2636GB,Bo,30.81,425.14,0.1167,0.7203,156
04LO00,De Wegwijzer,Krimpenerwaard,2931AA,Bo,26.71,308.1,0.1028,0.6108,98
04LP00,CBS Het Talent,Midden-Delfland,2635MK,Bo,37.6,440.95,0.1386,0.7332,222
04LR00,De Griffel,Noardeast-FryslÔn,9134NX,Bo,23.6,219.19,0.092,0.504,60
04LV00,Streeksch De Regenboog,Hardenberg,7692AC,Bo,14.54,293.86,0.0589,0.5953,104
04LX00,Basisschool De Overlaat,Zevenaar,6916CD,Bo,18.03,257.86,0.072,0.5537,218
04LY00,Chr Basisschool De Borgh,Borger-Odoorn,9531CH,Bo,31.26,270.81,0.1181,0.5692,116
