BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,pupils_total
05MJ00,Basisschool Boterdorp,Lansingerland,2661AP,Bo,26.41,438.95,0.1018,0.7316,133
05MK00,De Duyvencamp,Zwolle,8024CA,Bo,30.19,429.14,0.1146,0.7236,78
05ML00,cb De Ark,Heemskerk,1966XJ,Bo,15.3,259.0,0.0618,0.5551,85
05MM00,Chr Basissch De Wiekslag,Lansingerland,2665ES,Bo,31.89,410.38,0.1202,0.7079,183
05MQ00,PC Bs Het Kompas,Goeree-Overflakkee,3258AR,Bo,25.48,268.47,0.0986,0.5664,45
05MT00,PC Bs De Schepershoek,Stichtse Vecht,3621JK,Bo,17.82,416.9,0.0712,0.7134,109
05MU00,Chr Basissch Anker,Brielle,3232DA,Bo,22.03,304.62,0.0865,0.607,136
05MX00,School Met De Bijbel,Bunschoten,3754NA,Bo,33.16,589.71,0.1244,0.8387,68
05MY00,Basisschool De Bron,Waalwijk,5161AN,Bo,29.66,335.75,0.1128,0.6392,41
05NA00,PC Basisschool Sjaloom,Dalfsen,7722PM,Bo,21.54,436.0,0.0847,0.7292,67
05NI00,Chr Basisschool Coolsma,Utrechtse Heuvelrug,3971KW,Bo,65.04,533.0,0.2176,0.8014,176
05NJ00,Chr Basissch De Wynroas,Dantumadiel,9113PA,Bo,26.04,305.43,0.1005,0.6079,96
05NM00,CBS De Sprankel P-C,Altena,4271AX,Bo,12.9,352.92,0.0527,0.656,31
05NN00,CBS De Fontein,Westerveld,7991CL,Bo,16.88,367.55,0.0677,0.6698,36
05NO00,PC BS Cavaljeschool,Ede,6712AB,Bo,18.96,336.43,0.0754,0.6399,88
05NP00,Koepelschool,Ede,6717AS,Bo,38.79,292.67,0.1423,0.594,174
05NQ00,Menso Altingschool,Tynaarlo,9765BH,Bo,39.02,360.57,0.1431,0.6633,161
05NS00,Basisschool De Triangel,Brummen,6961BE,Bo,20.94,321.95,0.0826,0.6253,173
05NT00,IKC Het Sterrenpalet,Berkelland,7151DB,Bo,23.31,271.71,0.091,0.5702,194
05NU00,School Met De Bijbel,Rhenen,3921EK,Bo,35.54,374.1,0.1321,0.6759,125
05NW00,Christelijke Basisschool,Epe,8166KA,Bo,22.96,483.43,0.0897,0.766,73
05NY00,Chr Basisschool Rehoboth,Opsterland,9249MC,Bo,29.84,311.33,0.1134,0.6142,58
05OC00,C.D.S. 't Kompas,Aa en Hunze,9514CA,Bo,22.02,221.81,0.0864,0.5076,78
05OD00,PC Basissch De Wegwijzer,Coevorden,7917PX,Bo,13.84,272.24,0.0563,0.5708,66
05OF00,Rehobothschool,Hardinxveld-Giessendam,3371AW,Bo,26.95,307.9,0.1036,0.6106,295
05OJ00,Prins Constantynschool,Hof van Twente,7471JN,Bo,20.02,255.57,0.0793,0.5509,142
05OK00,CBS Het Mosterdzaadje,Epe,8166JD,Bo,22.08,483.43,0.0866,0.766,67
05OL00,CBS De Elout,'s-Gravenhage,2561VT,Bo,34.05,355.67,0.1273,0.6586,136
05OM00,PC Basissch De Wegwijzer,Dongen,5109TD,Bo,37.29,360.57,0.1376,0.6633,78
05OM01,PC Basissch De Wegwijzer,Geertruidenberg,4942BC,Bo,24.05,314.24,0.0936,0.6173,82
05ON00,Bs Adelbrecht Windekind,Berg en Dal,6561AR,Bo,24.75,303.19,0.096,0.6055,149
05OQ00,Basisschool Rehoboth,Molenlanden,2964HD,Bo,22.05,352.14,0.0865,0.6553,122
05OR00,CBS Jan Kuipers,Westerkwartier,9861CB,Bo,28.68,238.81,0.1095,0.53,117
05OS00,Chr Bs De Goudenstein,West Betuwe,4175HA,Bo,19.52,335.24,0.0774,0.6387,98
05OU00,Chr BS It Fundamint,Noardeast-FryslÔn,9074AK,Bo,23.66,225.38,0.0922,0.5124,171
05OV00,Basissch De Fjouwerhoeke,Noardeast-FryslÔn,9144CX,Bo,18.06,273.81,0.0721,0.5727,58
05OW00,CBS De Winde,Tytsjerksteradiel,9254CS,Bo,24.51,233.52,0.0952,0.5231,155
05OX00,Chr SSBO De Arend,Nunspeet,8072BW,Sbo,0.0,328.95,0.0,0.6324,76
05OY00,Basisschool De Regenboog,Hardinxveld-Giessendam,3372XX,Bo,28.97,294.29,0.1105,0.5958,170
05OZ00,Basisschool De Ster,Midden-Groningen,9617BN,Bo,21.98,322.47,0.0863,0.6258,51
05PA00,Van Heemstraschool,Hattem,8051HB,Bo,30.1,365.1,0.1143,0.6675,155
05PC00,Johannes Postschool,Alphen aan den Rijn,2391AX,Bo,23.35,396.38,0.0911,0.6958,137
05PD00,Chr Bs It Wraldfinster,S·dwest-FryslÔn,8621DR,Bo,21.52,288.86,0.0847,0.5898,100
05PF00,Basisschool Pr Juliana,Kampen,8275AC,Bo,19.35,413.05,0.0768,0.7102,76
05PH00,Chr Basissch Mons Sinai,Oldambt,9677PA,Bo,14.76,229.0,0.0598,0.5172,55
05PJ00,CNS De Kievitsheuvel,West Betuwe,4174GM,Bo,17.61,396.95,0.0704,0.6963,70
05PK00,Chr Bs Votum Nostrum,Opsterland,9241GM,Bo,0.98,261.0,0.0042,0.5575,29
05PM00,Basisschool De Skulpe,S·dwest-FryslÔn,8713JB,Bo,20.56,247.76,0.0812,0.5413,60
05PO00,Bosbergschool,De Bilt,3739KM,Bo,26.07,647.9,0.1006,0.8738,64
05PQ00,Chr Bs Hoogengraven,Ommen,7737PG,Bo,17.51,386.0,0.0701,0.6866,24
05PR00,Basisschool De Zaaier,Dalfsen,7711HE,Bo,28.42,355.48,0.1086,0.6585,145
05PS00,Basisschool De Meele,Dalfsen,7711EP,Bo,22.42,362.39,0.0879,0.665,39
05PX00,Chr Basissch De Trieme,De Fryske Marren,8464VL,Bo,19.36,298.62,0.0769,0.6006,68
05QA00,Ds Johan v d Wendeschool,Kampen,8267AH,Bo,8.05,383.37,0.0336,0.6843,36
05QB00,School Met De Bijbel,Kampen,8278BC,Bo,8.29,468.18,0.0346,0.7545,25
05QD00,De Morgenster,Schouwen-Duiveland,4321AM,Bo,29.52,328.38,0.1124,0.6318,57
05QE00,Chr Basissch Merlettes,Achtkarspelen,9288AM,Bo,9.6,219.67,0.0398,0.5047,83
05QF00,SWS De Groene Borg,Westerkwartier,9864PB,Bo,17.35,271.1,0.0695,0.5695,40
05QH00,Eben Haezer,Molenlanden,2965CC,Bo,21.99,302.38,0.0863,0.6046,114
05QI00,Basisschool De Wegwijzer,Bodegraven-Reeuwijk,3465TK,Bo,21.6,408.14,0.0849,0.706,78
05QJ00,Pr Willem Alexander Sch,Lochem,7245AH,Bo,18.89,457.52,0.0752,0.7463,58
05QM00,Basisschool De Schakel,Utrechtse Heuvelrug,3956GL,Bo,27.14,417.29,0.1043,0.7137,140
05QN00,Ichthusschool,Ommen,8148RE,Bo,31.99,402.14,0.1205,0.7008,65
05QO00,Chr Basissch De Klimop,Aalten,7122LX,Bo,11.67,304.19,0.0479,0.6066,57
05QP00,Basisschool Podium,Stichtse Vecht,3632BT,Bo,33.76,536.29,0.1263,0.8037,62
05QS00,Sjaloomschool,Midden-Groningen,9651BW,Bo,20.76,230.57,0.0819,0.5193,81
05QT00,Chr Basisschool De Rank,Vijfheerenlanden,4231DC,Bo,27.27,360.67,0.1047,0.6634,165
05QU00,De Regenboog,Goeree-Overflakkee,3248AB,Bo,12.49,307.06,0.0511,0.6097,50
05QV00,Basisschool De Schakel,West Betuwe,4194RR,Bo,27.78,400.76,0.1065,0.6996,77
05QW00,CBS t Kompas,Noardeast-FryslÔn,9136PS,Bo,2.74,206.53,0.0117,0.4865,34
05QX00,PCB Meester Lalleman,Zuidplas,2841LC,Bo,21.67,326.95,0.0852,0.6304,128
05RB00,Basisschool Kisveld,Berkelland,7161HG,Bo,24.17,292.06,0.094,0.5933,44
05RC00,Kindcentrum De Klister,Borger-Odoorn,9521BC,Bo,18.94,212.52,0.0753,0.4949,152
05RD00,PC Basisond Nieuw Buinen,Borger-Odoorn,9521AD,Bo,20.22,218.61,0.08,0.5033,50
05RE00,Basissch Gr v Prinsterer,Pekela,9663GG,Bo,11.09,188.38,0.0457,0.46,127
05RG00,School Met De Bijbel,Stichtse Vecht,3626AV,Bo,15.76,460.67,0.0636,0.7487,74
05RH00,Maranatha Basisschool,Nieuwkoop,2421NK,Bo,18.81,406.29,0.0748,0.7044,119
05RK00,Basisschool De Flambouw,Stichtse Vecht,1393PT,Bo,26.65,531.9,0.1026,0.8007,101
05RL00,School Met De Bijbel,Molenlanden,4225PV,Bo,21.43,406.05,0.0843,0.7042,95
05RM00,CHR BS de Stapstien,De Fryske Marren,8566JH,Bo,26.79,370.0,0.1031,0.6721,45
05RN00,PC Basisschool Nyensleek,Westerveld,8383EK,Bo,23.86,392.38,0.0929,0.6923,84
05RO00,Rehoboth Basisschool,Neder-Betuwe,4051GS,Bo,19.04,315.24,0.0757,0.6183,146
05RR00,Chr NAT BS De Flambou,Waadhoeke,8854AN,Bo,18.03,189.73,0.072,0.462,28
05RS00,Eben Haezerschool,De Fryske Marren,8536VH,Bo,15.58,275.05,0.0629,0.5741,47
05RT00,Eben Haezersch,Veere,4356DC,Bo,20.66,443.0,0.0816,0.7348,88
05RV00,Chr Basissch De Korenaar,Oostzaan,1511VH,Bo,30.3,437.71,0.1149,0.7306,220
05RW00,De Hervormde School,Neder-Betuwe,4043LH,Bo,15.14,319.76,0.0612,0.623,175
05RX00,Chr Basissch Klaver Trye,S·dwest-FryslÔn,8614XD,Bo,20.51,263.43,0.081,0.5604,72
05RY00,Chr Bs De Tarissing,De Fryske Marren,8465RE,Bo,19.6,322.33,0.0777,0.6257,128
05RZ00,Chr Bs De Zevensprong,Pekela,9665HS,Bo,15.92,166.57,0.0642,0.4258,77
05SB00,Basisschool De Bron,Goeree-Overflakkee,3255TE,Bo,15.37,276.76,0.0621,0.5761,67
05SC00,PC Basisschool Het Baken,Langedijk,1834CG,Bo,26.58,378.1,0.1023,0.6795,176
05SE00,Sch met de Bijbel De Akker,Hoogeveen,7933PG,Bo,19.95,283.38,0.079,0.5836,105
05SF00,Basisschool De Wegwijzer,Hoeksche Waard,3265BH,Bo,28.71,290.81,0.1096,0.592,75
05SG00,Juliana v Stolbergschool,Zaltbommel,5307HK,Bo,19.99,360.19,0.0791,0.6629,121
05SI00,Eben Haezerschool,Lopik,3415PW,Bo,34.16,446.95,0.1276,0.7379,116
05SJ00,PCB De Wegwijzer,Putten,3882XE,Bo,17.83,414.9,0.0713,0.7117,192
05SK00,PC Basisschool De Schelp,Hoeksche Waard,3297BW,Bo,20.15,300.86,0.0797,0.603,141
05SL00,Basisschool Oostenwind,Raalte,8102AM,Bo,25.33,309.76,0.098,0.6125,67
05SO00,Chr Basissch de Borgwal,Renswoude,3927GX,Bo,24.35,438.81,0.0947,0.7314,162
05SP00,Basisschool De Zandbaan,Reimerswaal,4411BL,Bo,11.88,235.19,0.0488,0.5253,51
05SR00,PC Basisschool A S Talma,Rotterdam,3034PX,Bo,24.52,280.33,0.0953,0.5802,291
05SW00,Basisschool Het Kompas,Rotterdam,3081SX,Bo,39.34,175.86,0.1441,0.4407,201
05SX00,PC Bs De Arendsvleugel,De Wolden,7961AW,Bo,17.71,337.33,0.0708,0.6408,60
05SY00,Chr Basissch Annewieke,Oldambt,9679JE,Bo,21.22,236.29,0.0836,0.5267,62
05SZ00,Basisschool De Wiekslag,Midden-Groningen,9621AT,Bo,25.52,223.24,0.0987,0.5095,78
05TB00,PC Basisschool Noach,Vijfheerenlanden,4145MP,Bo,23.25,384.05,0.0908,0.6849,109
05TE00,Chr Basissch Het Gebint,Westerwolde,9551BM,Bo,25.74,295.78,0.0995,0.5975,43
05TF00,CNS De Wegwijzer,Hardenberg,7777RN,Bo,25.84,332.29,0.0998,0.6358,74
05TG00,Johannes Calvijnschool,Sliedrecht,3363CK,Bo,25.86,292.38,0.0999,0.5937,401
05TH00,Chr BS de Klinkert,De Fryske Marren,8556XB,Bo,15.02,282.52,0.0608,0.5827,55
05TI00,School Met De Bijbel,Goeree-Overflakkee,3245VP,Bo,16.27,280.86,0.0655,0.5808,171
05TL00,Oranje Nassauschool,Stadskanaal,9501VX,Bo,21.44,205.24,0.0844,0.4846,181
05TM00,Chr Basissch De Skutslus,S·dwest-FryslÔn,8715HW,Bo,16.57,246.71,0.0666,0.54,65
05TN00,Chr. Basisschool De Vaart,Midden-Drenthe,9423PR,Bo,26.17,253.53,0.1009,0.5484,40
05TO00,Chr Basissch De Fontein,Groningen,9791BN,Bo,14.03,239.14,0.057,0.5304,95
05TR00,GEREF Basissch De Wissel,Utrecht,3572ZM,Bo,54.97,520.95,0.1902,0.7931,138
05TS00,Kindcentrum SPEEL en LEER,Noordenveld,9341AT,Bo,16.69,280.58,0.067,0.5804,56
05TT00,De Magdalon,Veere,4351AP,Bo,19.64,357.81,0.0779,0.6607,69
05TU00,Basisschool De IJsselvallei,Heerde,8194LK,Bo,40.52,427.14,0.1477,0.7219,58
05TV00,School aan de Vijver,Venlo,5913TV,Bo,22.68,305.57,0.0888,0.6081,198
05TW00,Basisschool De Schakel,De Ronde Venen,3645GR,Bo,19.86,506.62,0.0787,0.7829,98
05TY00,Chr Kindcentrum Het Kompas,Steenwijkerland,8325EV,Bo,18.16,241.81,0.0725,0.5338,121
05TZ00,Chr Basisschool Sjaloom,Voorst,7383CB,Bo,31.38,356.76,0.1185,0.6597,64
05UE00,Goede Herderschool PC,Heerde,8191XN,Bo,19.57,353.24,0.0776,0.6563,100
05UF00,Ds van Maasschool,Heerde,8191LH,Bo,24.88,305.0,0.0965,0.6075,43
05UG00,Chr Basisschool De Rank,Het Hogeland,9989AT,Bo,29.07,200.83,0.1108,0.4783,36
05UK00,Chr Nat Sch Knienenbult,Oude IJsselstreek,7054AT,Bo,7.78,354.83,0.0325,0.6579,27
05UL00,Chr Basissch De Bining,Noardeast-FryslÔn,9295KC,Bo,11.14,288.67,0.0459,0.5896,52
05UM00,Ds Vossersschool,Terschelling,8881CJ,Bo,27.91,362.71,0.1069,0.6653,63
05UN00,CBS Wij-land,Zaanstad,1551RD,Bo,30.19,431.29,0.1146,0.7253,128
05UO00,Chr Basisschool De Rank,Oldebroek,8091HV,Bo,31.17,319.38,0.1178,0.6226,143
05UR00,CBS De Wegwijzer,Westerkwartier,9367RM,Bo,20.22,287.35,0.08,0.5881,78
05US00,Basisschool De Regenboog,Kampen,8274AR,Bo,16.08,328.75,0.0647,0.6322,57
05UT00,Maranathaschool,Oldambt,9671GC,Bo,13.61,206.48,0.0554,0.4864,154
05UU00,Basisschool De Piramiden,Het Hogeland,9951JH,Bo,23.47,257.86,0.0916,0.5537,127
05UW00,Chr Basisschool De Arke,Leeuwarden,9088AS,Bo,23.36,260.14,0.0912,0.5565,59
05UX00,Het Samenspel,Goes,4471BR,Bo,32.04,268.67,0.1207,0.5666,92
05UY00,Basisschool It Funemint,S·dwest-FryslÔn,8731CD,Bo,19.5,249.67,0.0774,0.5437,124
05VA00,Chr Nationale School,Dantumadiel,9113PB,Bo,17.16,305.43,0.0688,0.6079,112
05VC00,Akkerwal,Wierden,7468RE,Bo,16.14,369.86,0.065,0.672,67
05VD00,Oranjeschool vBasisond,Kampen,8276AL,Bo,20.76,415.19,0.0819,0.712,68
05VG00,Basissch De Nessevliet,Zuidplas,2761DP,Bo,34.19,405.62,0.1277,0.7038,105
05VJ00,'T Paalhoofd,Veere,4374BB,Bo,37.16,347.81,0.1372,0.6511,110
05VK00,Basisschool De Wegwijzer,Midden-Groningen,9636AA,Bo,17.55,230.43,0.0702,0.5191,113
05VL00,PC Basisschool De Aanwas,Nissewaard,3214XE,Bo,38.24,321.48,0.1406,0.6248,176
05VM00,Chr Basissch M D Bijbel,Zaltbommel,5305EA,Bo,13.41,345.43,0.0546,0.6488,84
05VO00,Montess BS Pallas Athene,Amersfoort,3818JE,Bo,54.6,626.86,0.1892,0.8614,220
05VO01,Montess BS Pallas Athene,Stichtse Vecht,3634AS,Bo,44.37,488.67,0.1595,0.7699,44
05VP00,Cornelis Vrijschool,Amsterdam,1071CW,Bo,74.33,1086.43,0.2414,1.0742,190
05VR00,Deventer Montessori Sch,Deventer,7415LA,Bo,34.68,228.95,0.1293,0.5171,222
05VS00,Instituut Van Kinsbergen,Elburg,8081VZ,Bo,19.9,280.0,0.0788,0.5798,49
05VT00,Enschedese Schoolverenig,Enschede,7523AL,Bo,55.32,245.33,0.1912,0.5382,155
05VU00,Schoolver Neutr Bijz Ond,Gouda,2801ZA,Bo,48.02,288.29,0.1703,0.5892,279
05VV00,Schoolvereniging Wolters,'s-Gravenhage,2597PH,Bo,77.37,588.76,0.2489,0.8381,344
05VW00,Bs Haagsche School Ver,'s-Gravenhage,2514JT,Bo,68.87,529.95,0.2276,0.7993,261
05VX00,1e Ned Montessorischool,'s-Gravenhage,2566DA,Bo,8.7,680.24,0.0362,0.8922,1521
05VY00,Montessorisch Waalsdorp,'s-Gravenhage,2597PH,Bo,61.41,588.76,0.2079,0.8381,221
05WB00,De Vrije School,'s-Gravenhage,2597NT,Bo,45.23,588.76,0.1621,0.8381,280
05WD00,Haarlemse Montessorisch,Haarlem,2012SR,Bo,63.98,655.24,0.2148,0.8781,243
05WG00,Hilversumse Schoolver,Hilversum,1213BM,Bo,66.05,750.19,0.2202,0.9295,179
05WH00,Montessorischool Centrum,Hilversum,1211AM,Bo,53.42,314.71,0.1859,0.6177,249
05WI00,Godelindeschool,Hilversum,1217CN,Bo,69.64,766.81,0.2295,0.9379,180
05WJ00,Flevo school,Huizen,1272BX,Bo,45.55,794.95,0.163,0.9518,186
05WK00,Larense Montessorischool,Laren,1251AR,Bo,57.25,824.05,0.1966,0.9657,160
05WL00,Chr Basisschool De Arke,Opsterland,9245HK,Bo,26.57,333.81,0.1023,0.6373,60
05WM00,De Kralingsche School,Rotterdam,3062EB,Bo,61.37,604.95,0.2078,0.8482,153
05WN00,Montessorischool,Rotterdam,3062EK,Bo,63.25,604.95,0.2129,0.8482,181
05WR00,Kievietschool,Wassenaar,2244AD,Bo,67.45,1319.1,0.2239,1.152,203
05WS00,Montessorischool,Wassenaar,2242GW,Bo,50.52,634.9,0.1776,0.8662,101
05WT00,Basisschool Oudendijk,Altena,4285WL,Bo,25.59,338.67,0.099,0.6421,82
05WU00,Zeister Schoolvereeniging,Zeist,3707CA,Bo,55.36,748.29,0.1914,0.9285,189
05WV00,Zeister Vrije School,Zeist,3707GL,Bo,53.5,748.29,0.1861,0.9285,144
05WZ00,PC Sch vr BSO Immanuel,Lopik,3412KM,Bo,27.03,430.14,0.1039,0.7244,47
05XB00,CBS De Parel,Midden-Groningen,9649HP,Bo,18.0,193.81,0.0719,0.4681,93
05XC00,Chr Bs De Lindenborgh,Stadskanaal,9581TV,Bo,4.97,202.9,0.0211,0.4813,120
05XD00,Basisschool De Wegwijzer,Midden-Groningen,9621AR,Bo,19.28,223.24,0.0766,0.5095,60
05XE00,De Noordkaap,Het Hogeland,9982LK,Bo,16.98,200.86,0.0681,0.4784,123
05XF00,Basisschool De Zaaier,Westerwolde,9541AX,Bo,15.5,248.29,0.0626,0.5419,110
05XH00,Basisschool De Tarissing,Waadhoeke,8843KE,Bo,31.33,204.0,0.1184,0.4829,10
05XI00,Basisschool Paadwizer,S·dwest-FryslÔn,8763MS,Bo,20.45,294.48,0.0808,0.596,51
05XQ00,School Met De Bijbel,Overbetuwe,6668AN,Bo,18.82,349.9,0.0749,0.6531,71
05XR00,Basisschool De Terebint,West Maas en Waal,6659BX,Bo,17.28,349.0,0.0692,0.6522,54
05XW00,Obs Bredeschool De Springplank,Raalte,8141ET,Bo,34.45,342.86,0.1286,0.6463,146
05XX00,Openbare Basisschool,Bronckhorst,7255XT,Bo,14.46,349.24,0.0586,0.6525,68
05XZ00,Basisschool De Vlieten,Westland,2678PB,Bo,30.46,388.71,0.1155,0.6891,154
05YA00,WereldKidz Kievit,De Bilt,3738EB,Bo,22.39,407.47,0.0877,0.7054,51
05YC00,Basisschool De Brink,Roermond,6043SG,Bo,11.49,205.05,0.0472,0.4844,295
05YD00,OBS K Zwartschool,Berkelland,7261GH,Bo,13.79,370.24,0.0561,0.6723,201
05YE00,OBS Het Bolwerk,Teylingen,2172HD,Bo,21.69,384.56,0.0852,0.6853,113
05YK00,Christelijke Basisschool,Zaltbommel,5314AT,Bo,23.26,393.48,0.0908,0.6933,133
05YL00,Basisschool De Paadwizer,Ooststellingwerf,8434NN,Bo,11.73,315.65,0.0482,0.6187,44
05YM00,SSBO De Koppeling,Rotterdam,3086BJ,Sbo,0.0,210.76,0.0,0.4924,150
05YQ00,Basisschool De Regenboog,Steenbergen,4671ES,Bo,18.34,276.95,0.0731,0.5763,52
05YS00,Basisschool 'T Smelleken,Valkenswaard,5554JM,Bo,39.96,335.33,0.146,0.6388,279
05YT00,Basisschool Berg,Valkenburg aan de Geul,6325CN,Bo,28.45,317.29,0.1087,0.6204,194
05YW00,RK Basisschool Den Dijk,Uden,5409AD,Bo,15.55,374.62,0.0628,0.6763,111
05ZE00,SLS de Ravelijn,Hardenberg,7786BH,Bo,14.03,382.43,0.057,0.6834,68
05ZF00,De Tweemaster,Lisse,2161KL,Bo,22.73,384.1,0.089,0.6849,275
05ZG00,Basisschool 'T Ravelijn,Oss,5371BB,Bo,30.83,314.76,0.1167,0.6178,70
05ZH00,Basissch De Berkenhorst,Staphorst,7951JS,Bo,9.97,316.38,0.0413,0.6195,66
05ZI00,BS de Speelwagen,Medemblik,1687RA,Bo,29.35,391.43,0.1118,0.6915,141
05ZN00,SSBO Het Kompas,Haarlemmermeer,2135HA,Sbo,0.17,439.57,0.0007,0.732,147
05ZQ00,De Lispeltuut,Veere,4356BG,Bo,39.73,443.0,0.1453,0.7348,57
05ZR00,De Appelhof,Druten,6652BE,Bo,15.05,362.33,0.0609,0.665,247
05ZS00,Basisschool De Zuidwend,Eemnes,3755BG,Bo,31.23,471.95,0.118,0.7574,153
05ZT00,IKC De Tichelaar,Lingewaard,6691CJ,Bo,18.13,319.24,0.0724,0.6225,174
05ZU00,Basissch De Samensprong,Horst aan de Maas,5971AN,Bo,25.13,281.86,0.0974,0.5819,104
05ZW00,WereldKidz Meander,Utrechtse Heuvelrug,3956EW,Bo,28.08,417.29,0.1075,0.7137,123
05ZX00,De Regenboog,Son en Breugel,5694SC,Bo,30.51,359.62,0.1157,0.6624,136
05ZY00,Basissch De Zandheuvel,West Betuwe,4147BL,Bo,14.36,336.76,0.0583,0.6402,82
05ZZ00,IKC het Ravelijn,Westervoort,6932CA,Bo,21.8,260.76,0.0856,0.5572,95
06AF00,Vrije School Valentijn,Harderwijk,3844EL,Bo,20.94,302.9,0.0826,0.6052,129
06AG00,Maria-School,Tubbergen,7667PS,Bo,21.36,379.86,0.0841,0.6811,97
06AI00,Openbare Bs De Noordster,Bergen op Zoom,4613GP,Bo,13.64,278.9,0.0555,0.5785,140
06AL00,SWS Op Wier,Westerkwartier,9891BE,Bo,23.06,208.05,0.0901,0.4886,56
06AM00,Basissch De Springplank,Alphen aan den Rijn,2391AX,Bo,23.0,396.38,0.0899,0.6958,126
06AN00,Nieuweschool,Peel en Maas,5981DS,Bo,15.58,290.76,0.0629,0.5919,151
06AO00,O D B S  Nijenstein,Het Hogeland,9997NG,Bo,8.43,232.95,0.0351,0.5224,47
06AP00,Basisschool De Meridiaan,Medemblik,1671JZ,Bo,15.26,296.19,0.0617,0.5979,88
06AQ00,SWS De Schans,Noordenveld,9342PH,Bo,21.54,340.1,0.0847,0.6435,52
06AY00,Obs Jan Hekman,Ouder-Amstel,1191JP,Bo,65.6,596.19,0.2191,0.8427,374
06AZ00,Basisschool Flora,Krimpenerwaard,2931RP,Bo,31.26,308.1,0.1181,0.6108,80
06BA00,BS de Duizendpoot,Sittard-Geleen,6165TV,Bo,16.05,210.0,0.0646,0.4914,213
06BB00,OBS De Klokkebei,Breda,4851BG,Bo,41.97,544.0,0.1522,0.8089,290
06BC00,Basisschool De Sieppe,Berg en Dal,6562XK,Bo,16.53,304.57,0.0664,0.607,198
06BE00,Willemsschool,Westland,2681TT,Bo,16.03,366.24,0.0646,0.6686,121
06BG00,Basisschool Het Landje,Rotterdam,3012BA,Bo,40.89,340.9,0.1489,0.6443,479
06BH00,obs De Dijkwerkers,Medemblik,1693KT,Bo,20.31,341.52,0.0803,0.645,57
06BM00,obs De Piramide,Medemblik,1619VC,Bo,19.01,320.76,0.0756,0.624,93
06BO00,Curtevenne-Basisschool,Wijdemeren,1241BG,Bo,35.52,433.14,0.132,0.7268,156
06BP00,Basisschool De Molenberg,Westerkwartier,9861GJ,Bo,11.41,238.81,0.0469,0.53,76
06BQ00,OBS De Piramide,Vught,5262XE,Bo,31.09,377.38,0.1176,0.6789,290
06BR00,OBS De Anwende,Coevorden,7854PR,Bo,16.48,263.95,0.0662,0.561,94
06BV00,Sint Lambertusschool,Eersel,5512AJ,Bo,35.73,435.33,0.1327,0.7286,110
06BX00,D W v Dam v Brakelschool,Zaltbommel,5306GE,Bo,29.58,326.48,0.1125,0.6299,63
06BY00,Basisschool De Schakel,Twenterand,7681RG,Bo,11.22,267.43,0.0462,0.5652,69
06CA00,Basissch De Dubbelburg,Katwijk,2235BW,Bo,31.71,440.43,0.1196,0.7327,266
06CI00,Kath Daltonsch. St. Walfridus,Het Hogeland,9781HM,Bo,24.02,254.33,0.0935,0.5494,125
06CK00,Basisschool Meander,Brunssum,6442AJ,Bo,14.84,201.52,0.0601,0.4793,196
06CN00,Oosterschool,Westerwolde,9695AH,Bo,23.67,242.9,0.0923,0.5352,63
06CO00,Basisschool De Regenboog,Stichtse Vecht,3621WS,Bo,33.83,416.9,0.1266,0.7134,137
06CP00,Basisschool De Wegwijzer,Aalten,7091CW,Bo,22.3,251.2,0.0874,0.5456,58
06CQ00,Basisschool De Driepas,Echt-Susteren,6101MJ,Bo,11.69,259.29,0.048,0.5554,176
06CS00,De Wildschut,Gilze en Rijen,5126CK,Bo,13.74,332.57,0.0559,0.6361,223
06CT00,OBS 't Palet,Oost Gelre,7141VG,Bo,12.5,206.0,0.0512,0.4857,16
06CX00,OBS De Bogerd,Maasdriel,5328GW,Bo,32.38,364.05,0.1218,0.6666,196
06CY00,Basisschool De Kijckert,Westland,2291LC,Bo,21.06,376.71,0.083,0.6783,250
06CZ00,Basisschool De Baayaert,Roosendaal,4724DS,Bo,34.83,323.24,0.1298,0.6266,157
06DD00,OBS Noordewier,Het Hogeland,9955VC,Bo,25.97,201.0,0.1003,0.4786,32
06DE00,Basisschool 'T Wold,Zeewolde,3891CB,Bo,18.21,297.62,0.0726,0.5995,148
06DG00,Obs De Noordkaap,Oldambt,9682PB,Bo,20.37,246.29,0.0805,0.5394,101
06DJ00,Het Startblok,Goeree-Overflakkee,3255BN,Bo,14.32,276.76,0.0581,0.5761,89
06DM00,RK Bs De Berckacker,Veldhoven,5508DJ,Bo,25.29,406.48,0.0979,0.7046,159
06DN00,Ned Herv Basissch Bethel,Waddinxveen,2742EB,Bo,27.48,359.67,0.1055,0.6624,207
06DO00,Pieter v d Plas School,Westland,2291SK,Bo,37.81,376.71,0.1393,0.6783,294
06DV00,Chr Basisschool De Bron,Oldebroek,8091JJ,Bo,12.22,319.38,0.0501,0.6226,170
06DW00,Basisschool De Kiem,Bernheze,5384HL,Bo,21.57,376.43,0.0848,0.678,84
06DX00,Basisschool Ichthus,De Ronde Venen,1396KJ,Bo,29.22,598.62,0.1113,0.8442,80
06DY00,Rehobothschool,Zeist,3705PE,Bo,52.55,413.24,0.1834,0.7103,79
06DZ00,IKC de Kerneel,Nederweert,6031HR,Bo,34.28,329.19,0.128,0.6327,227
06EA00,DS J Bogermansch,Schouwen-Duiveland,4307BR,Bo,17.99,263.38,0.0719,0.5604,115
