BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,candidates_total
02GN00,SGM Kennemer Lyceum,BLOEMENDAAL,2051 KA,HAVO/VWO,43.77,38.45,0.1577,0.1413,717
02GP00,Het Rijnlands Lyceum Wassenaar,WASSENAAR,2243 AB,HAVO/VWO,65.73,45.82,0.2194,0.1638,591
02GP04,Het Rijnlands Lyceum,'S-GRAVENHAGE,2511 DG,HAVO/VWO,40.0,29.76,0.1461,0.1131,110
02GS00,SGM Montessori Lyc Rdam,ROTTERDAM,3039 KS,HAVO/VWO,52.69,31.03,0.1838,0.1174,945
02HI00,Curio vmbo,BERGEN OP ZOOM,4661 TZ,VMBO,0.0,6.45,0.0,0.0272,406
02HI06,Curio pomona,BERGEN OP ZOOM,4613 ES,VMBO,0.0,40.03,0.0,0.1462,143
02IB00,DaCapo College loc Havikstraat,SITTARD-GELEEN,6135 ED,VMBO,0.0,32.12,0.0,0.121,862
02IB07,DaCapo College Milaanstraat,SITTARD-GELEEN,6135 LH,VMBO,0.0,0.0,0.0,0.0,518
02IC00,RGO Beroepscampus,GOEREE-OVERFLAKKEE,3245 KG,VMBO,0.0,52.47,0.0,0.1832,569
02IC01,RGO Beroepscampus,GOEREE-OVERFLAKKEE,3245 KG,VMBO,0.0,0.0,0.0,0.0,65
02JG00,Emelwerda College,NOORDOOSTPOLDER,8302 AL,HAVO/VWO,29.47,41.08,0.1122,0.1495,907
02JG04,Emelwerda College,NOORDOOSTPOLDER,8302 DC,VMBO,0.0,46.25,0.0,0.1651,303
02JG05,Emelwerda College,NOORDOOSTPOLDER,8302 AM,VMBO,0.0,16.19,0.0,0.0652,189
02KB00,Teylingen College,TEYLINGEN,2215 RE,VMBO,0.0,47.66,0.0,0.1693,976
02KB01,Teylingen College,NOORDWIJK,2211 XT,HAVO/VWO,30.71,34.03,0.1163,0.1272,1380
02KB02,Teylingen College,OEGSTGEEST,2341 VX,VMBO,0.0,12.22,0.0,0.0501,536
02KM00,Haarlem College,HAARLEM,2035 LE,VMBO,0.0,18.2,0.0,0.0726,1057
02KR00,St Bonifatius Mavo,NOORDOOSTPOLDER,8302 AS,VMBO,0.0,17.77,0.0,0.071,550
02LB00,SNZ,ROTTERDAM,3074 LJ,VMBO,0.0,37.28,0.0,0.1376,610
02LB08,Nieuw Zuid OSG,ROTTERDAM,3082 NK,HAVO/VWO,16.88,25.3,0.0677,0.098,610
02LG00,Carmelcollege Gouda,GOUDA,2805 TD,VMBO,0.0,15.75,0.0,0.0635,510
02LG06,Loc. Antoniuscollege Gouda,GOUDA,2806 HP,HAVO/VWO,40.07,51.73,0.1464,0.1811,704
02ME00,Tabor College,HOORN,1624 NS,VMBO,0.0,31.82,0.0,0.12,1244
02ME01,Tabor College loc Werenfridus,HOORN,1624 BX,HAVO/VWO,48.47,45.15,0.1716,0.1618,1130
02ME02,Tabor College loc Oscar Romero,HOORN,1625 PD,HAVO/VWO,15.16,24.98,0.0613,0.0968,1368
02MF00,Het Perron,VEENENDAAL,3905 AD,VMBO,0.0,33.39,0.0,0.1251,1037
02MU00,St Maartenscollege SGM,LEIDSCHENDAM-VOORBURG,2274 KX,HAVO/VWO,32.25,31.08,0.1214,0.1176,1202
02NZ00,Houtkamp College,DOETINCHEM,7001 KD,HAVO/VWO,7.44,75.3,0.0312,0.2438,338
02NZ01,Metzo College,DOETINCHEM,7008 CA,VMBO,0.0,32.99,0.0,0.1238,1053
02NZ09,Ludger College/Ulenhofcollege,DOETINCHEM,7002 AN,HAVO/VWO,26.91,31.64,0.1035,0.1194,1240
02NZ11,Houtkamp loc. Kruisbergsewerg,DOETINCHEM,7009 BP,HAVO/VWO,14.45,18.74,0.0586,0.0746,910
02NZ12,Kompaan College Het Hoge,BRONCKHORST,,VMBO,0.0,0.0,0.0,0.0,37
02NZ13,Kompaan College Nieuwstad,BRONCKHORST,,VMBO,0.0,13.46,0.0,0.0549,141
02PA00,Mediacollege Amsterdam Ma,AMSTERDAM,1078 VN,VMBO,0.0,100.0,0.0,0.301,344
02QN00,RK SGM Marianum,OOST GELRE,7141 EA,HAVO/VWO,23.7,30.11,0.0924,0.1143,1222
02QN02,RK SGM Marianum,OOST GELRE,7131 XM,VMBO,0.0,21.31,0.0,0.0839,837
02QO00,Sint Oelbert Gymnasium,OOSTERHOUT,4904 PA,HAVO/VWO,84.08,49.41,0.265,0.1744,503
02QP00,St Willibrord Gymnasium,DEURNE,5753 GD,HAVO/VWO,88.02,47.94,0.2742,0.1701,285
02QQ00,Notre Dame Des Anges,BERG EN DAL,6574 AJ,HAVO/VWO,0.0,42.08,0.0,0.1525,491
02QT00,Maurick College,VUGHT,5262 BS,HAVO/VWO,26.94,22.99,0.1036,0.0899,1876
02QX00,Petrus Canisius College,ALKMAAR,1814 CG,HAVO/VWO,36.91,38.0,0.1364,0.1399,1260
02QX01,Petrus Canisius College,ALKMAAR,1816 EA,VMBO,0.0,19.26,0.0,0.0765,607
02QX03,Petrus Canisius College,ALKMAAR,1813 BA,VMBO,0.0,45.87,0.0,0.164,715
02QZ00,Keizer Karel College,AMSTELVEEN,1185 AA,HAVO/VWO,62.86,43.55,0.2118,0.157,1370
02RA00,KSGM Veluws College,APELDOORN,7314 NX,HAVO/VWO,33.15,37.81,0.1243,0.1393,1672
02RA01,KSGM Veluws College,APELDOORN,7312 DG,VMBO,0.0,21.85,0.0,0.0858,838
02RA02,KSGM Veluws College,APELDOORN,7322 GG,VMBO,0.0,9.95,0.0,0.0412,511
02RA03,KSGM Veluws College,VOORST,7391 GM,VMBO,0.0,15.21,0.0,0.0615,388
02RM00,Beukenrode Onderwijs,UTRECHTSE HEUVELRUG,,VMBO,0.0,24.33,0.0,0.0946,57
02SB00,Lyceum Sancta Maria,HAARLEM,2012 MN,HAVO/VWO,47.06,37.6,0.1675,0.1386,1194
02ST00,Kandinsky College,NIJMEGEN,6535 ND,HAVO/VWO,32.89,35.67,0.1235,0.1325,1339
02ST03,Kandinsky College,NIJMEGEN,,VMBO,0.0,0.0,0.0,0.0,52
02ST04,Kandinsky College,MOOK EN MIDDELAAR,6584 BK,VMBO,0.0,0.0,0.0,0.0,253
02ST05,Jorismavo,NIJMEGEN,6532 TV,VMBO,0.0,21.34,0.0,0.084,236
02SY00,SGM Vwo Dorenweerd Coll,RENKUM,6865 CZ,HAVO/VWO,32.57,35.02,0.1225,0.1304,1100
02TC00,Christiaan Huygens Coll,EINDHOVEN,5653 AT,HAVO/VWO,51.33,43.77,0.1799,0.1577,882
02TC03,locatie Olympia,EINDHOVEN,5652 CA,VMBO,0.0,3.77,0.0,0.0161,555
02TC04,loc. Frits Philips lyceum-mavo,EINDHOVEN,5627 GA,HAVO/VWO,21.54,26.49,0.0847,0.1021,1490
02TD00,Jan Arentsz Chr SGM,ALKMAAR,1825 BB,HAVO/VWO,23.34,29.56,0.0911,0.1125,1517
02TD03,CSG Jan Arentsz - Van der Meij,ALKMAAR,1823 DS,VMBO,0.0,0.0,0.0,0.0,224
02TD04,Jan Arentsz Chr SGM,DIJK EN WAARD,1722 KA,VMBO,0.0,17.53,0.0,0.0701,351
02TE00,H Wesselink College,AMSTELVEEN,1185 XP,HAVO/VWO,35.7,35.75,0.1326,0.1327,1696
02TG00,Het Baarnsch Lyceum,BAARN,3742 CS,HAVO/VWO,50.49,38.49,0.1775,0.1414,954
02TH00,Jordan MLU,ZEIST,3706 TE,HAVO/VWO,59.43,44.83,0.2026,0.1609,748
02TZ00,RK SGM St Michaelcollege,ZAANSTAD,1509 BS,HAVO/VWO,45.94,48.33,0.1642,0.1712,1082
02UB00,St Vituscollege,GOOISE MEREN,1406 NR,HAVO/VWO,45.72,35.42,0.1635,0.1317,1130
02UC00,Atheneum Coll Hageveld,HEEMSTEDE,2102 LM,HAVO/VWO,95.89,51.83,0.292,0.1814,996
02UE00,SGM St Bonifatius Coll,UTRECHT,3582 KA,HAVO/VWO,60.98,43.83,0.2068,0.1579,1216
02UG00,Laurens Lyceum,ROTTERDAM,3055 ES,HAVO/VWO,34.55,41.1,0.1289,0.1495,752
02UP00,Marnix College,EDE,6713 MC,HAVO/VWO,33.92,37.3,0.1268,0.1377,1137
02US00,SGM Haags Montessori Lyc,'S-GRAVENHAGE,2596 AK,HAVO/VWO,46.79,38.58,0.1667,0.1417,1052
02US04,SGM Haags Montessori Lyc,'S-GRAVENHAGE,2596 XL,VMBO,0.0,16.04,0.0,0.0646,144
02UT00,VCL,'S-GRAVENHAGE,2585 JN,HAVO/VWO,57.52,40.02,0.1973,0.1462,658
02UV00,Gomarus College,GRONINGEN,9721 LX,HAVO/VWO,40.17,36.54,0.1467,0.1353,1263
02UV03,Gomarus College,SMALLINGERLAND,9203 GH,VMBO,0.0,8.61,0.0,0.0359,175
02UV04,Gomarus College,LEEUWARDEN,8931 DG,HAVO/VWO,0.0,13.37,0.0,0.0545,342
02UV05,Gomarus College,ASSEN,9402 KD,VMBO,0.0,13.46,0.0,0.0548,156
02UV17,Gomarus College,GRONINGEN,9721 LX,VMBO,0.0,33.31,0.0,0.1249,973
02UX00,Vechtdal College,HARDENBERG,7772 BS,HAVO/VWO,11.63,16.7,0.0478,0.0671,1846
02UX01,Vechtdal College,HARDENBERG,7701 AW,VMBO,0.0,4.5,0.0,0.0191,352
02UX06,Vechtdal College,OMMEN,7731 RZ,HAVO/VWO,13.68,20.53,0.0557,0.0811,1578
02VA00,Roelof van Echten College,HOOGEVEEN,7902 NX,HAVO/VWO,36.81,43.24,0.1361,0.1561,676
02VA01,St. Roelof van Echten College,HOOGEVEEN,7903 AA,VMBO,0.0,14.46,0.0,0.0587,1108
02VB00,Ichthus College,KAMPEN,8265 CJ,HAVO/VWO,0.0,16.75,0.0,0.0672,913
02VB01,Ichthus College,KAMPEN,8265 CJ,HAVO/VWO,91.56,42.79,0.2823,0.1547,209
02VB02,Ichthus College,DRONTEN,8251 AW,HAVO/VWO,16.11,25.95,0.0649,0.1002,648
02VB07,Ichthus College,KAMPEN,8265 PL,VMBO,0.0,36.01,0.0,0.1336,464
02VB16,Ichthus College,DRONTEN,8251 GR,VMBO,0.0,30.07,0.0,0.1142,161
02VC00,Comenius Chr SGM,LEEUWARDEN,8933 CR,HAVO/VWO,22.96,34.6,0.0898,0.1291,1576
02VC02,Comenius Chr SGM,LEEUWARDEN,8921 VX,VMBO,0.0,22.11,0.0,0.0867,673
02VC03,Comenius Chr SGM,LEEUWARDEN,8924 BK,VMBO,0.0,11.36,0.0,0.0467,528
02VC09,Comenius Chr SGM,LEEUWARDEN,8924 CR,VMBO,0.0,10.12,0.0,0.0419,136
02VD00,Visser t Hooft Lyceum,LEIDEN,2334 CP,HAVO/VWO,38.03,48.56,0.14,0.1719,1391
02VD02,Visser t Hooft Lyceum,LEIDEN,2334 EA,VMBO,0.0,0.0,0.0,0.0,54
02VD04,Visser t Hooft Lyceum,LEIDERDORP,2353 KD,VMBO,0.0,12.73,0.0,0.052,361
02VD05,Visser t Hooft Lyceum,KATWIJK,2231 LK,VMBO,0.0,6.67,0.0,0.0281,235
02VE00,NSG Groenewoud,NIJMEGEN,6525 BM,HAVO/VWO,29.34,31.74,0.1117,0.1197,1511
02VG00,Unie Noord,ROTTERDAM,3024 CP,HAVO/VWO,34.49,43.4,0.1287,0.1565,431
02VG03,Unie Noord-Codarts Lyceum,ROTTERDAM,3012 CC,HAVO/VWO,29.98,3.14,0.1139,0.0134,181
02VG04,Unie Noord - Mavo Centraal,ROTTERDAM,3033 HJ,VMBO,0.0,12.71,0.0,0.052,361
02VG05,Unie Noord- Experience College,ROTTERDAM,3028 HW,VMBO,0.0,49.26,0.0,0.174,548
02VG08,Unie Noord-locatie RDC,ROTTERDAM,3022 DC,VMBO,0.0,0.0,0.0,0.0,482
02VG11,Unie Noord- locatie HVR,ROTTERDAM,3032 BG,VMBO,0.0,0.0,0.0,0.0,321
02VG14,Unie Noord - Loc Montessori,ROTTERDAM,3039 AC,VMBO,0.0,16.18,0.0,0.0651,129
02VG15,Unie Noord- loc De TooropMavo,ROTTERDAM,3055 VG,VMBO,0.0,8.5,0.0,0.0354,502
02VG17,Unie Noord-MEX010,ROTTERDAM,3026 GH,VMBO,0.0,16.52,0.0,0.0664,214
02VG22,UN - locatie Lyceum Kralingen,ROTTERDAM,3061 CT,HAVO/VWO,31.47,67.87,0.1188,0.225,293
02VG25,Unie Noord - locatie VCH,ROTTERDAM,3054 RP,VMBO,0.0,16.37,0.0,0.0658,349
02VJ00,Ubbo Emmius,STADSKANAAL,9503 CA,HAVO/VWO,26.24,42.14,0.1012,0.1527,859
02VJ01,Ubbo Emmius,OLDAMBT,9675 HH,VMBO,0.0,1.94,0.0,0.0084,327
02VJ06,Ubbo Emmius,STADSKANAAL,9591 BJ,VMBO,0.0,43.45,0.0,0.1567,156
02VJ07,Ubbo Emmius,STADSKANAAL,9502 CW,VMBO,0.0,43.07,0.0,0.1555,614
02VJ08,Ubbo Emmius,STADSKANAAL,9501 AR,VMBO,0.0,37.79,0.0,0.1392,468
02VM00,Christelijk Lyceum SGM,VEENENDAAL,3904 JC,HAVO/VWO,23.45,28.71,0.0915,0.1096,1962
02VN00,Reg SGM Het Rhedens,ROZENDAAL,6891 DK,HAVO/VWO,49.51,50.94,0.1747,0.1788,527
02VN01,Reg SGM Het Rhedens,RHEDEN,6953 AK,HAVO/VWO,10.47,14.78,0.0432,0.0599,1245
02VO00,Gymnasium Novum,LEIDSCHENDAM-VOORBURG,2274 KX,HAVO/VWO,93.75,60.47,0.2872,0.2054,512
02VQ00,ZAAM Zaanstad,ZAANSTAD,1503 DA,HAVO/VWO,27.61,34.71,0.1059,0.1294,820
02VQ01,Pascal Zuid,ZAANSTAD,1504 BZ,VMBO,0.0,16.21,0.0,0.0653,685
02VR00,Christelijk Lyceum Zeist,ZEIST,3707 EP,HAVO/VWO,44.22,34.15,0.159,0.1276,1219
02VR02,"loc, Christelijk lyceum zeist",ZEIST,3708 XB,VMBO,0.0,0.0,0.0,0.0,406
02VR04,"loc, Revius Lyceum Doorn",UTRECHTSE HEUVELRUG,3941 ZX,HAVO/VWO,49.09,34.99,0.1734,0.1303,1435
02VR05,"loc, Rev lyc wk bij duurstede",WIJK BIJ DUURSTEDE,3962 KT,HAVO/VWO,0.0,21.24,0.0,0.0837,679
02VR08,Christelijk Lyceum Zeist,ZEIST,3701 CC,VMBO,0.0,0.0,0.0,0.0,67
02VT00,Carolus Clusius College,ZWOLLE,8019 AV,HAVO/VWO,30.01,32.79,0.114,0.1232,1353
02VT01,Agnieten College Zwartsluis,ZWARTEWATERLAND,8064 PA,VMBO,0.0,16.26,0.0,0.0654,574
02VT02,Talentstad Beroepscollege,ZWOLLE,8041 AH,VMBO,0.0,31.23,0.0,0.118,936
02VT04,Agnieten College Nieuwleusen,DALFSEN,7711 KK,VMBO,0.0,14.99,0.0,0.0607,199
02VT05,Meander College,ZWOLLE,8032 JW,HAVO/VWO,19.31,22.06,0.0767,0.0866,1324
02VT06,Agnieten College Wezep,OLDEBROEK,8091 WD,VMBO,0.0,19.65,0.0,0.0779,208
02XE00,Chr School De Saad,DANTUMADIEL,,VMBO,0.0,25.68,0.0,0.0993,74
02XJ00,Chr SGM Reggesteyn,HELLENDOORN,7441 BK,HAVO/VWO,22.27,32.91,0.0873,0.1236,1351
02XJ01,Chr SGM Reggesteijn,HELLENDOORN,,VMBO,0.0,20.15,0.0,0.0797,143
02XJ02,Chr SGM Reggesteijn,RIJSSEN-HOLTEN,7461 PK,VMBO,0.0,30.38,0.0,0.1152,1217
02XJ05,Chr SGM Reggesteyn,RIJSSEN-HOLTEN,7461 AG,VMBO,0.0,100.0,0.0,0.301,39
02XQ00,Inspecteur Boelensschool,SCHIERMONNIKOOG,,VMBO,0.0,0.0,0.0,0.0,8
02XS00,Altena College Chr SGM,ALTENA,4254 XD,HAVO/VWO,17.6,23.5,0.0704,0.0917,1220
02YH00,MCA,BLOEMENDAAL,2111 HJ,VMBO,0.0,6.59,0.0,0.0277,495
02ZC00,Gymn vh Bernardinuscoll,HEERLEN,,HAVO/VWO,89.09,64.19,0.2767,0.2153,167
02ZR00,Het College,WEERT,6006 NT,HAVO/VWO,96.48,58.27,0.2933,0.1994,730
02ZR02,Het College loc. Bravo College,CRANENDONCK,6021 BP,VMBO,0.0,37.89,0.0,0.1395,261
02ZR03,Het College loc. Het Kwadrant,WEERT,6004 JP,VMBO,0.0,100.0,0.0,0.301,100
03AM00,Stedelijk Gymnasium,BREDA,4811 DE,HAVO/VWO,93.18,41.44,0.286,0.1506,757
03AQ00,Open Sgm Bylmer,AMSTERDAM,1103 BE,HAVO/VWO,7.7,11.55,0.0322,0.0475,1722
03FO00,CVO 't Gooi,HILVERSUM,1217 GH,HAVO/VWO,37.66,30.98,0.1388,0.1172,1393
03FO01,Hilfertsheem College,HILVERSUM,1222 LH,VMBO,0.0,29.33,0.0,0.1117,564
03FO02,PC Voortgezet Ond Groep,HILVERSUM,,VMBO,0.0,17.37,0.0,0.0696,114
03FO04,Lucent College,HILVERSUM,1221 CL,VMBO,0.0,5.25,0.0,0.0222,236
03JY00,Calvijn College,GOES,4461 ZN,HAVO/VWO,30.02,42.33,0.114,0.1533,1158
03JY01,Calvijn College,MIDDELBURG,4337 KR,VMBO,0.0,37.1,0.0,0.137,262
03JY02,Calvijn College,REIMERSWAAL,4413 GB,VMBO,0.0,50.1,0.0,0.1764,988
03JY03,Calvijn College,THOLEN,4691 HT,VMBO,0.0,18.46,0.0,0.0736,223
03JY06,Calvijn College,REIMERSWAAL,4413 ET,VMBO,0.0,19.91,0.0,0.0788,234
03JY08,Calvijn College,GOES,4462 DZ,VMBO,0.0,30.71,0.0,0.1163,326
03KN00,RK SGM Pius X,BLADEL,5531 GK,HAVO/VWO,11.66,14.18,0.0479,0.0576,2063
03OY00,Niftarlake College,STICHTSE VECHT,3607 GK,HAVO/VWO,25.46,32.95,0.0985,0.1237,1551
03RB00,Chr SGM Prins Maurits,GOEREE-OVERFLAKKEE,3241 XB,HAVO/VWO,13.51,17.93,0.055,0.0716,1484
03RR00,Candea College,DUIVEN,6922 LX,HAVO/VWO,31.92,48.1,0.1203,0.1705,937
03RR04,Candea College VMBO en Mavo,DUIVEN,6922 JB,VMBO,0.0,17.91,0.0,0.0715,1096
03RU00,Herbert Vissers College,HAARLEMMERMEER,2152 LG,HAVO/VWO,13.93,16.31,0.0566,0.0656,1471
03RU02,Herbert Vissers College,HAARLEMMERMEER,2152 AC,VMBO,0.0,36.04,0.0,0.1337,351
03WO00,Van Lodensteincollege,AMERSFOORT,3818 ET,HAVO/VWO,40.35,32.63,0.1472,0.1226,1050
03WO01,Van Lodensteincollege,NIJKERK,3871 MR,VMBO,0.0,39.39,0.0,0.1442,1784
03WO02,Van Lodensteincollege,NEDER-BETUWE,4041 JB,HAVO/VWO,0.0,13.61,0.0,0.0554,1037
03XF00,Mundium College,ROERMOND,6045 CK,HAVO/VWO,27.3,31.37,0.1048,0.1185,1214
03XF03,Mundium Coll.- Havo Roermond,ROERMOND,,VMBO,0.0,20.21,0.0,0.08,94
03XF04,Mundium College locatie Wings,ROERMOND,6043 GL,HAVO/VWO,7.82,11.17,0.0327,0.046,556
03XM00,Chr SGM Dingstede,MEPPEL,7944 HD,HAVO/VWO,29.11,34.88,0.111,0.13,1012
03XS00,CSW Van de Perre,MIDDELBURG,4334 BK,HAVO/VWO,22.09,27.93,0.0867,0.107,1469
03XS02,CSW Toorop Talent College,MIDDELBURG,4333 BP,VMBO,0.0,22.16,0.0,0.0869,463
03XS03,CSW Bestevaer,VLISSINGEN,4385 CJ,VMBO,0.0,12.55,0.0,0.0513,222
04DF00,Ashram College,ALPHEN AAN DEN RIJN,2401 XH,HAVO/VWO,25.36,26.59,0.0982,0.1024,1035
04DF01,Ashram College,NIEUWKOOP,2421 EB,VMBO,0.0,5.29,0.0,0.0224,315
04DS00,Gymnasium Trevianum,SITTARD-GELEEN,6135 CV,HAVO/VWO,95.19,67.26,0.2905,0.2234,325
04GU00,Elde College Schijndel,MEIERIJSTAD,5481 XT,HAVO/VWO,13.43,12.13,0.0547,0.0497,1783
04GU03,Elde College Schijndel,SINT-MICHIELSGESTEL,5271 VB,VMBO,0.0,20.9,0.0,0.0824,263
04HR00,Openbare SGM Erasmus,ALMELO,7602 HT,HAVO/VWO,21.6,33.69,0.0849,0.1261,1258
04HR04,Openbare SGM Erasmus,ALMELO,7603 XZ,VMBO,0.0,23.4,0.0,0.0913,596
04IX00,Kalsbeek College,WOERDEN,3443 CT,HAVO/VWO,21.68,27.93,0.0852,0.107,1294
04IX01,Kalsbeek College,WOERDEN,3443 AM,VMBO,0.0,20.18,0.0,0.0798,1477
04OY00,Carmel College Salland,RAALTE,8101 BW,VMBO,0.0,0.38,0.0,0.0017,1423
04OY02,Carmel College Salland,RAALTE,8101 AH,HAVO/VWO,35.54,46.67,0.1321,0.1663,1166
04SU00,Voortgezet Onderwijs Veghel,MEIERIJSTAD,5461 XL,HAVO/VWO,31.59,47.23,0.1192,0.168,1253
04SU02,Fioretti College,MEIERIJSTAD,5467 HA,VMBO,0.0,34.04,0.0,0.1272,1528
04XU00,Baanderherencollege Vmbo,BOXTEL,5282 RJ,VMBO,0.0,31.98,0.0,0.1205,1123
04YE00,Opb SGM Singelland,SMALLINGERLAND,9201 KN,VMBO,0.0,21.74,0.0,0.0854,990
04YE01,Opb SGM Singelland,TYTSJERKSTERADIEL,9251 EB,VMBO,0.0,17.65,0.0,0.0706,185
04YE02,Opb SGM Singelland,ACHTKARSPELEN,9231 EN,VMBO,0.0,23.89,0.0,0.093,595
04YE03,Opb SGM Singelland,SMALLINGERLAND,9201 JW,HAVO/VWO,32.31,36.23,0.1216,0.1343,1208
04YE11,Opb SGM Singelland,TYTSJERKSTERADIEL,9251 BH,HAVO/VWO,0.0,45.12,0.0,0.1617,119
04YK00,Harreveld locatie Prisma,OOST GELRE,,VMBO,0.0,0.0,0.0,0.0,14
04YX00,Munnikenheide College,ETTEN-LEUR,4873 LP,VMBO,0.0,39.77,0.0,0.1454,883
04YX02,Munnikenheide College,RUCPHEN,4715 RD,VMBO,0.0,46.07,0.0,0.1646,459
05AC00,Kei College,HEERENVEEN,,VMBO,0.0,63.32,0.0,0.213,168
05AV00,Twents Carmel College,OLDENZAAL,7573 CC,VMBO,0.0,31.22,0.0,0.118,2522
05AV01,Twents Carmel College,OLDENZAAL,7576 ZB,HAVO/VWO,29.72,53.82,0.113,0.187,443
05AV02,Twents Carmel College,OLDENZAAL,7572 CR,HAVO/VWO,32.8,46.55,0.1232,0.166,1809
05AV03,Twents Carmel College,LOSSER,7581 EX,VMBO,0.0,21.26,0.0,0.0837,385
05AX00,SGM De Overlaat,WAALWIJK,,VMBO,0.0,39.91,0.0,0.1458,881
05EA14,STC,ROTTERDAM,3088 GG,VMBO,0.0,100.0,0.0,0.301,424
05EA16,STC,ROTTERDAM,3024 EA,VMBO,0.0,100.0,0.0,0.301,363
05FB00,Het Assink lyceum,HAAKSBERGEN,7481 LP,HAVO/VWO,34.05,35.28,0.1273,0.1312,1066
05FB07,Het Assink lyceum,HAAKSBERGEN,7482 VV,VMBO,0.0,0.34,0.0,0.0015,378
05FB08,Het Assink lyceum,BERKELLAND,7161 AE,VMBO,0.0,21.27,0.0,0.0837,1133
05FE00,RK SGM Thamen,UITHOORN,1421 NK,VMBO,0.0,32.66,0.0,0.1227,830
05FF00,Olympuscollege,ARNHEM,6832 EL,HAVO/VWO,13.41,20.89,0.0547,0.0824,1095
05FJ00,Emmacollege,HEERLEN,6413 NR,VMBO,0.0,19.58,0.0,0.0776,602
05FJ01,Emmacollege locatie Broekland,HEERLEN,6431 LE,VMBO,0.0,12.66,0.0,0.0518,627
05FJ11,TCPL,HEERLEN,6415 GG,VMBO,0.0,100.0,0.0,0.301,169
05OH00,Ostrea Lyceum,GOES,4461 NB,VMBO,0.0,0.0,0.0,0.0,484
05OH03,Ostrea Lyceum,GOES,4462 EP,HAVO/VWO,33.71,39.83,0.1261,0.1456,900
05OH07,Ostrea Lyceum,GOES,4461 WK,VMBO,0.0,13.99,0.0,0.0569,493
05PL00,Ds. Pierson College,'S-HERTOGENBOSCH,5212 CZ,HAVO/VWO,22.21,27.25,0.0871,0.1046,1555
05RA00,Veenlanden College,DE RONDE VENEN,3641 XR,HAVO/VWO,24.22,27.76,0.0942,0.1064,1321
05RA01,Veenlanden College,DE RONDE VENEN,3645 KZ,VMBO,0.0,6.98,0.0,0.0293,206
05TA00,CSG Willem De Zwijger,KRIMPENERWAARD,2871 JN,HAVO/VWO,21.0,28.53,0.0828,0.109,879
05XJ00,Het Lyceum Rotterdam,ROTTERDAM,3021 AE,HAVO/VWO,42.72,48.42,0.1545,0.1715,560
06HF00,Udens College,MAASHORST,5402 KD,HAVO/VWO,34.31,35.23,0.1281,0.1311,1298
06HF02,Udens College,MAASHORST,5401 ZW,VMBO,0.0,25.07,0.0,0.0972,1625
06SU00,Ichthus College,VEENENDAAL,3906 EA,HAVO/VWO,22.53,27.32,0.0882,0.1049,1980
06WY00,Grienden College,SLIEDRECHT,3362 VE,VMBO,0.0,34.53,0.0,0.1288,405
06XL00,Markland College Oudenbosch,HALDERBERGE,4731 CR,HAVO/VWO,11.4,15.43,0.0469,0.0623,1257
07BQ00,HAVO Trevianum,SITTARD-GELEEN,6135 CV,HAVO/VWO,0.0,35.68,0.0,0.1325,1226
07FH00,Mendel College,HAARLEM,2024 BT,HAVO/VWO,35.94,36.91,0.1333,0.1364,1760
07KP00,NXT Maarsbergen,UTRECHTSE HEUVELRUG,,VMBO,0.0,65.48,0.0,0.2188,528
07MU00,Rodenborch-College,'S-HERTOGENBOSCH,5245 PE,HAVO/VWO,26.6,28.2,0.1024,0.1079,1782
07PK00,Arentheem College,ARNHEM,6822 LR,HAVO/VWO,48.38,45.34,0.1714,0.1624,1516
07PK05,Arentheem College,ARNHEM,6826 DM,VMBO,0.0,40.26,0.0,0.1469,433
07PK07,Arentheem College,RHEDEN,6883 ER,HAVO/VWO,0.0,0.0,0.0,0.0,644
08CU00,Emmauscollege,ROTTERDAM,3067 MR,HAVO/VWO,44.55,36.26,0.16,0.1344,1450
08LP00,Isendoorn College,ZUTPHEN,7231 NN,HAVO/VWO,32.51,34.11,0.1223,0.1275,1575
08LP01,Isendoorn College,ZUTPHEN,7231 NE,VMBO,0.0,14.49,0.0,0.0588,198
08SG00,CVO Apeldoorn,APELDOORN,7329 BZ,HAVO/VWO,16.41,23.42,0.066,0.0914,1251
08SG01,UDO vakgericht vmbo,APELDOORN,7314 PH,VMBO,0.0,32.0,0.0,0.1206,1127
08SG06,CVO Apeldoorn,APELDOORN,7313 EC,HAVO/VWO,27.82,27.97,0.1066,0.1071,1339
08VU00,Chr SGM Willem v Oranje,HOEKSCHE WAARD,3263 RA,HAVO/VWO,38.98,40.98,0.1429,0.1492,1103
08VU02,Chr SGM Willem v Oranje,HOEKSCHE WAARD,3261 ZA,VMBO,0.0,13.99,0.0,0.0569,471
09VG00,Reeshof College,TILBURG,5036 BV,VMBO,0.0,0.0,0.0,0.0,515
10AN03,Scala College,ALPHEN AAN DEN RIJN,2402 NM,HAVO/VWO,0.0,19.49,0.0,0.0773,1588
10AN04,Scala College,ALPHEN AAN DEN RIJN,2405 WB,HAVO/VWO,92.83,53.53,0.2852,0.1862,729
10LU00,RSG 't Rijks,BERGEN OP ZOOM,4611 EG,HAVO/VWO,17.29,25.08,0.0693,0.0972,2482
11NY00,Reg Sgm Broklede,STICHTSE VECHT,3621 JK,HAVO/VWO,46.21,39.26,0.165,0.1438,1155
11ZH00,Maerlant,VOORNE AAN ZEE,3232 PX,HAVO/VWO,14.71,15.04,0.0596,0.0608,1263
