BRIN,vestigingsnaam,gemeente,postcode,type,X_linear,Y_linear,X_log,Y_log,candidates_total
00PS10,AT Scholen VO,HILVERSUM,1211 GK,VMBO,0.0,100.0,0.0,0.301,156
00RO00,Amadeus Lyceum,UTRECHT,3452 MD,HAVO/VWO,30.93,27.74,0.117,0.1063,1705
00RZ00,Montessori College,NIJMEGEN,6523 MJ,HAVO/VWO,32.33,29.46,0.1217,0.1121,1134
00RZ01,Montessori College,BERG EN DAL,6562 AM,VMBO,0.0,10.37,0.0,0.0429,313
00RZ07,Montessori College,NIJMEGEN,6523 MJ,VMBO,0.0,0.93,0.0,0.004,661
00SZ00,Joh Fontanus College,BARNEVELD,3771 KA,HAVO/VWO,22.93,24.32,0.0897,0.0945,1996
00TL00,Het Nieuwe Lyceum,DE BILT,3723 BV,HAVO/VWO,50.64,44.78,0.1779,0.1607,1023
00TM00,Hendrik Pierson College,OVERBETUWE,6671 DL,HAVO/VWO,14.25,19.93,0.0578,0.0789,1032
00TQ00,SGM Mariëndael VBO LWOO,ARNHEM,,VMBO,0.0,0.0,0.0,0.0,16
00TU00,GSR,ROTTERDAM,3067 WL,HAVO/VWO,32.63,32.79,0.1227,0.1232,1100
00TU01,Geref SGM Randstad,RIJSWIJK,2287 TK,VMBO,0.0,33.29,0.0,0.1248,95
00UM00,Erfgooiers College,HUIZEN,1276 KD,HAVO/VWO,18.88,25.45,0.0751,0.0985,1033
00UZ00,Fioretti College,LISSE,2161 VA,HAVO/VWO,21.18,26.93,0.0834,0.1036,1559
00UZ04,Fioretti College,HILLEGOM,2182 ES,VMBO,0.0,33.84,0.0,0.1266,966
00VR00,St.- Jozefmavo,VLAARDINGEN,3136 AX,VMBO,0.0,16.29,0.0,0.0656,1004
00VY00,RK SGM Cals College,NIEUWEGEIN,3432 NA,HAVO/VWO,54.94,48.39,0.1902,0.1714,1983
00VY04,RK SGM Cals College,IJSSELSTEIN,3401 RD,HAVO/VWO,0.0,5.81,0.0,0.0245,1500
00WD00,sg Panta Rhei,AMSTELVEEN,1183 KK,VMBO,0.0,25.1,0.0,0.0973,631
00WH00,Gomarusschool s.g.,GORINCHEM,4205 NK,HAVO/VWO,15.35,20.48,0.062,0.0809,1557
00WH02,Gomarusschool s.g.,ZALTBOMMEL,5301 LA,VMBO,0.0,27.43,0.0,0.1053,221
00WI00,Chr. College Groevenbeek,ERMELO,3851 ZJ,HAVO/VWO,16.45,21.05,0.0661,0.083,2766
00WI04,Chr. College Groevenbeek,PUTTEN,3881 DA,VMBO,0.0,0.0,0.0,0.0,567
00XA00,Trinitas College,DIJK EN WAARD,1701 DA,HAVO/VWO,33.52,36.42,0.1255,0.1349,1523
00XA01,Trinitas College,DIJK EN WAARD,1702 CL,VMBO,0.0,25.59,0.0,0.099,1485
00XK00,Veurs Lyceum,LEIDSCHENDAM-VOORBURG,2262 EZ,HAVO/VWO,18.19,27.57,0.0726,0.1057,692
00XK02,Veurs Voorburg vmbo,LEIDSCHENDAM-VOORBURG,2273 CS,VMBO,0.0,0.0,0.0,0.0,405
00YH00,Willem v Oranje Onderwijsgroep,GORINCHEM,4205 AK,VMBO,0.0,11.31,0.0,0.0465,606
00YH01,"Locatie, Schans",ALTENA,4254 EA,VMBO,0.0,1.11,0.0,0.0048,252
00YH02,"Locatie, Calvijn",HARDINXVELD-GIESSENDAM,3371 NA,VMBO,0.0,12.01,0.0,0.0493,267
00YH03,"Locatie, Lyceum oudehoven",GORINCHEM,4205 NK,HAVO/VWO,25.21,40.52,0.0977,0.1477,1087
00YH05,"Locatie, Gilde",GORINCHEM,4205 VL,VMBO,0.0,100.0,0.0,0.301,902
00YH06,"Locatie, Windroos",GORINCHEM,4205 ET,VMBO,0.0,0.0,0.0,0.0,303
00YO00,Prot Chr Mavo Waldheim,BAARN,3742 CS,VMBO,0.0,13.11,0.0,0.0535,490
00ZD00,Bonhoeffer College,CASTRICUM,1902 RA,HAVO/VWO,27.58,36.63,0.1058,0.1356,1543
00ZO00,PORTEUM 2,LELYSTAD,8233 GA,HAVO/VWO,3.69,3.94,0.0157,0.0168,1086
00ZV00,Lauwers College,ACHTKARSPELEN,9285 RV,HAVO/VWO,18.34,20.86,0.0731,0.0823,1022
00ZV02,Lauwers College,NOARDEAST-FRYSLÂN,9291 BS,VMBO,0.0,37.26,0.0,0.1375,288
00ZV05,Lauwers College,WESTERKWARTIER,9843 BG,VMBO,0.0,31.72,0.0,0.1197,269
00ZX00,Dockingacollege,NOARDEAST-FRYSLÂN,9103 ST,HAVO/VWO,29.83,36.7,0.1134,0.1358,770
00ZX02,Dockingacollege,NOARDEAST-FRYSLÂN,9101 VP,VMBO,0.0,12.77,0.0,0.0522,514
00ZX03,Dockingacollege,NOARDEAST-FRYSLÂN,9101 BE,VMBO,0.0,45.12,0.0,0.1617,545
00ZX10,Inspecteur Boelensschool,SCHIERMONNIKOOG,9166 PS,VMBO,0.0,0.0,0.0,0.0,8
01AA57,Thomas a Kempiscollege,ZWOLLE,8011 KC,HAVO/VWO,30.23,42.18,0.1147,0.1528,777
01AA59,Jena XL,ZWOLLE,8019 AL,HAVO/VWO,14.42,19.17,0.0585,0.0762,320
01AA61,CSE Topsportacademie Nederland,ZWOLLE,8024 AH,HAVO/VWO,20.0,27.1,0.0792,0.1042,620
01AA68,Thomas a Kempis College (AD),ZWOLLE,8012 EG,VMBO,0.0,7.3,0.0,0.0306,255
01BE00,C.S.G Ulbe Van Houten,WAADHOEKE,,VMBO,0.0,4.73,0.0,0.0201,596
01EO00,Da Vinci College,PURMEREND,1442 BG,HAVO/VWO,31.92,37.61,0.1203,0.1386,1201
01EO01,SG Gerrit Rietveld,PURMEREND,1444 GN,VMBO,0.0,20.93,0.0,0.0825,621
01EO02,Jan v. Egmond Lyceum,PURMEREND,1442 AX,HAVO/VWO,36.57,33.29,0.1354,0.1248,1259
01EO06,SG W.J. Bladergroen,PURMEREND,1442 PX,VMBO,0.0,0.0,0.0,0.0,27
01EO08,SG Nelson Mandela,PURMEREND,1442 AX,VMBO,0.0,12.55,0.0,0.0514,431
01EO12,SG Antoni Gaudi,PURMEREND,1442 PX,VMBO,0.0,11.87,0.0,0.0487,587
01ET00,St. Ignatiusgymnasium,AMSTERDAM,1077 LH,HAVO/VWO,92.99,56.27,0.2855,0.1939,605
01FP00,Het Baken Almere,ALMERE,1314 SJ,VMBO,0.0,60.75,0.0,0.2061,483
01FP01,Het Baken Park Lyceum,ALMERE,1325 PL,HAVO/VWO,17.31,19.49,0.0693,0.0773,1224
01FP04,Het Baken Trinitas Gymnasium,ALMERE,1324 CT,HAVO/VWO,88.76,56.83,0.2759,0.1954,415
01FP05,Het Baken Poort Lyceum,ALMERE,1362 LC,HAVO/VWO,0.0,14.58,0.0,0.0591,444
01FU00,Nuborgh College,ELBURG,8082 CA,VMBO,0.0,42.66,0.0,0.1543,1047
01FU01,Nuborgh College,ELBURG,8081 VV,HAVO/VWO,33.09,35.57,0.1241,0.1321,914
01FU04,Nuborgh College loc. Veluvine,NUNSPEET,8071 AK,VMBO,0.0,40.88,0.0,0.1488,345
01FY00,Augustinianum SGM,EINDHOVEN,5613 LH,HAVO/VWO,49.87,48.98,0.1757,0.1731,980
01GH00,Willem v Oranje College,WAALWIJK,5146 AW,HAVO/VWO,25.97,31.59,0.1003,0.1192,1161
01GH01,Willem v Oranje College,ALTENA,4261 KC,VMBO,0.0,43.8,0.0,0.1577,628
01GL00,Sophianum SGM i h Heuvelland,GULPEN-WITTEM,6271 NT,HAVO/VWO,18.52,19.49,0.0738,0.0773,1347
01GN00,Valuascollege,VENLO,5911 EB,HAVO/VWO,19.61,19.99,0.0778,0.0792,2322
01GV00,Mavoschool Sancta Maria,'S-HERTOGENBOSCH,,VMBO,0.0,19.34,0.0,0.0768,382
01GX00,Chr Lyceum Delft,DELFT,2614 GE,HAVO/VWO,36.47,52.9,0.135,0.1844,1466
01GX02,Chr Lyceum Delft,DELFT,2625 XN,VMBO,0.0,17.62,0.0,0.0705,563
01GX03,Chr Lyceum Delft,DELFT,2613 RT,VMBO,0.0,15.19,0.0,0.0614,316
01IW00,Dongemond College,GEERTRUIDENBERG,4942 VC,HAVO/VWO,10.54,17.28,0.0435,0.0692,1759
01IW03,Dongemond College,DRIMMELEN,4921 TB,VMBO,0.0,9.2,0.0,0.0382,555
01KF00,St Gregorius College,UTRECHT,3512 VS,HAVO/VWO,10.86,17.4,0.0448,0.0697,574
01KF04,Descart,UTRECHT,3527 VX,HAVO/VWO,21.42,33.97,0.0843,0.127,209
01KL00,NOG,VELSEN,1985 HP,HAVO/VWO,43.48,45.51,0.1568,0.1629,959
01KL06,"loc, Technisch Coll Velsen",VELSEN,1971 HM,VMBO,0.0,100.0,0.0,0.301,382
01KL07,"loc, Maritiem Coll IJmuiden",VELSEN,1971 HM,VMBO,0.0,100.0,0.0,0.301,97
01KL08,locatie ISK Haarlem,HAARLEM,2021 HH,VMBO,0.0,27.27,0.0,0.1047,88
01KL09,Maritieme Academie Harlingen,HARLINGEN,8861 KM,VMBO,0.0,100.0,0.0,0.301,157
01KL10,Wim Gertenbach Coll Zandvoort,ZANDVOORT,2042 XD,VMBO,0.0,15.17,0.0,0.0613,216
01KL14,loc Tender Coll IJmuiden,VELSEN,1973 XT,VMBO,0.0,0.0,0.0,0.0,135
01LZ00,SGM Eerste Chr Lyc VWO,HAARLEM,2012 KN,HAVO/VWO,48.79,43.99,0.1726,0.1583,1083
01MB00,RK Alfrink College SGM,ZOETERMEER,2725 DE,HAVO/VWO,48.79,51.8,0.1726,0.1813,1366
01MO00,Atheneum Trevianum,SITTARD-GELEEN,6135 CV,HAVO/VWO,91.51,44.28,0.2822,0.1592,695
01MU00,De Meerwaarde,BARNEVELD,3771 RD,VMBO,0.0,31.67,0.0,0.1195,2131
01NJ01,"Terra, Winsum VO",HET HOGELAND,,VMBO,0.0,0.0,0.0,0.0,715
01NJ02,"Terra, Oldekerk VO",WESTERKWARTIER,,VMBO,0.0,0.0,0.0,0.0,349
01NJ08,"Terra, Assen VO",ASSEN,,VMBO,0.0,0.0,0.0,0.0,795
01NJ09,"Terra, Eelde VO",TYNAARLO,,VMBO,0.0,0.0,0.0,0.0,635
01NJ10,"Terra, Emmen VO",EMMEN,,VMBO,0.0,0.0,0.0,0.0,611
01NJ12,"Terra, Wolvega VO",WESTSTELLINGWERF,,VMBO,0.0,0.0,0.0,0.0,262
01NJ15,AOC Terra,MEPPEL,,VMBO,0.0,0.0,0.0,0.0,785
01NZ00,Griftland College,SOEST,3761 EV,HAVO/VWO,23.27,24.68,0.0909,0.0958,1406
01OE03,Yuverta,OEGSTGEEST,2341 KD,VMBO,0.0,0.0,0.0,0.0,510
01OE04,Wellantcollege,GORINCHEM,,VMBO,0.0,0.0,0.0,0.0,10
01OE05,Yuverta,HOEKSCHE WAARD,3286 LS,VMBO,0.0,0.0,0.0,0.0,480
01OE06,Yuverta,'S-GRAVENHAGE,2553 EC,VMBO,0.0,0.0,0.0,0.0,344
01OE07,Yuverta,'S-GRAVENHAGE,2491 EC,VMBO,0.0,0.0,0.0,0.0,574
01OE12,Yuverta,DORDRECHT,3315 WX,VMBO,0.0,2.4,0.0,0.0103,845
01OE13,Yuverta,VOORNE AAN ZEE,3232 VC,VMBO,0.0,0.0,0.0,0.0,401
01OE16,Yuverta,AMERSFOORT,3825 AG,VMBO,0.0,0.62,0.0,0.0027,441
01OE17,Yuverta,MONTFOORT,3417 XD,VMBO,0.0,0.0,0.0,0.0,997
